Hz,voltage_MSE,voltage_eqn,dv_dt_eqn
36,6.303813568500083e-09,0.299894563526963*sin(228.4492878688*x0 - 1.55129181348585) - 0.0496859862564122,68.5106994734593*cos(228.4492878688*x0 - 1.55129181348585)
45,6.190043994691051e-09,0.299660625396151*sin(284.625343864381*x0 - 1.54596083271212) - 0.0496730036524713,85.291008545995*cos(284.625343864381*x0 - 1.54596083271212)
54,6.110808957720442e-09,0.299446190917175*sin(340.801395420365*x0 - 1.54046698923844) - 0.0497204606801493,102.051679717887*cos(340.801395420365*x0 - 1.54046698923844)
63,5.6411972967243944e-09,0.299258687598612*sin(396.977449869273*x0 - 1.53486923814562) - 0.0497023596742933,118.798950654122*cos(396.977449869273*x0 - 1.53486923814562)
72,5.4076501322684634e-09,-0.299092108283492*sin(453.153498264913*x0 + 1.61239993858627) - 0.0496930059647253,-135.534635172093*cos(453.153498264913*x0 + 1.61239993858627)
81,5.262022782068402e-09,-0.298948197312871*sin(509.329556264268*x0 + 1.61811251390006) - 0.0496719547053926,-152.263152683367*cos(509.329556264268*x0 + 1.61811251390006)
90,5.197835841861785e-09,0.298815210502691*sin(569.250688138558*x0 - 1.51734742234343) - 0.0496876674299292,170.100764204925*cos(569.250688138558*x0 - 1.51734742234343)
99,4.467584288508796e-09,0.298702483734957*sin(629.171812667356*x0 - 1.5112197648998) - 0.0496793128890381,187.935183139764*cos(629.171812667356*x0 - 1.5112197648998)
