ID,picked_equation,loss,complexity,MSE,%diff_to_set
0,sin((x0 + x0 + (Abs(x0) + sign(x0) - 1.3933251)*(-0.0016625521))*0.92348343)*(-6.3085923) - 1*(-0.054471955),2.136097e-05,20,3930025.127631695,-100.000000000000
1,Abs(cos(x0*0.93099004))*(asinh((x0 - 1*0.67689604)*(x0 - 1*(-0.7588353))*(-1.0358808)) + 7.761872)*(x0 - 1*0.0046251654)*1.7555534,2.4803567e-05,24,2474976.5214183014,-100.000000000000
