num_terms_removed,MSE,actual_eqn,removed_terms,full_eqn
num_terms_removed,MSE,actual_eqn,removed_terms,full_eqn
0,3.1909385387265843e-07,-1.7973409e-5*dx*x**3 + 7.8232915e-6*dx*x + 1.1880068e-5*dx + 0.00019429234*x**2 + 0.00016619443*x - 1.1352726e-6,[],-1.7973409e-5*dx*x**3 + 7.8232915e-6*dx*x + 1.1880068e-5*dx + 0.00019429234*x**2 + 0.00016619443*x - 1.1352726e-6
1,6.030237788917586e-07,7.8232915e-6*dx*x + 1.1880068e-5*dx + 0.00019429234*x**2 + 0.00016619443*x - 1.1352726e-6,[dx*x**3],-1.7973409e-5*dx*x**3 + 7.8232915e-6*dx*x + 1.1880068e-5*dx + 0.00019429234*x**2 + 0.00016619443*x - 1.1352726e-6
2,9.623924092754316e-06,7.8232915e-6*dx*x + 1.1880068e-5*dx + 0.00016619443*x - 1.1352726e-6,"[dx*x**3, x**2]",-1.7973409e-5*dx*x**3 + 7.8232915e-6*dx*x + 1.1880068e-5*dx + 0.00019429234*x**2 + 0.00016619443*x - 1.1352726e-6
3,2.0683273201999985e-05,1.1880068e-5*dx + 0.00016619443*x - 1.1352726e-6,"[dx*x**3, x**2, dx*x]",-1.7973409e-5*dx*x**3 + 7.8232915e-6*dx*x + 1.1880068e-5*dx + 0.00019429234*x**2 + 0.00016619443*x - 1.1352726e-6
