num_terms_removed,MSE,actual_eqn,removed_terms,full_eqn
0,2.886427791809531e-08,-7.685499e-7*dx*x + 4.00911e-6*dx + 0.000167055*x**2 + 0.0024066058*x + 0.00011169027,[],-7.685499e-7*dx*x + 4.00911e-6*dx + 0.000167055*x**2 + 0.0024066058*x + 0.00011169027
1,6.623555319829735e-06,-7.685499e-7*dx*x + 4.00911e-6*dx + 0.0024066058*x + 0.00011169027,[x**2],-7.685499e-7*dx*x + 4.00911e-6*dx + 0.000167055*x**2 + 0.0024066058*x + 0.00011169027
2,1.768019299543653e-05,4.00911e-6*dx + 0.0024066058*x + 0.00011169027,"[x**2, dx*x]",-7.685499e-7*dx*x + 4.00911e-6*dx + 0.000167055*x**2 + 0.0024066058*x + 0.00011169027
