Complexity,Loss,Equation
1,1072.0491,"-96.02563"
3,1068.803,"x0 + -95.99989"
5,885.8627,"(x0 * x0) * -158.90259"
7,30.528742,"-50.585934 - ((x0 * x0) * 91.272514)"
9,24.78754,"-50.54654 - ((x0 - 0.039393574) * (x0 * 91.272514))"
11,24.76918,"-50.513325 - ((((x0 - 0.022811923) * 91.34) + -1.2993892) * x0)"
13,24.655983,"-50.513325 - ((x0 * (x0 - 0.022811923)) * (91.25743 - (x0 * 1.778494)))"
15,24.655392,"-50.516186 - ((x0 * (x0 - 0.022811923)) * (91.21222 - ((x0 - 0.045213252) * 1.778494)))"
