ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-1.8238884574089553 + 97.0016057817798*x0 + 47.09325167633375*x0**2,44.551342*x0**2 + 97.069845041202*x0,49.258537,7,1120.6932735439339,-100.000000000000,0.0703485873993821,-5.39760918146827
1,33.95612301612033 + -36.59352946776582*x0 + 80.72526249168499*x0**2,79.12679*x0**2 - 36.735015804129*x0 + 35.345722,58.52023,9,681.2768746190666,4.09233699389054,0.386643044333318,-1.98013910682500
2,-37.19633830970792 + 52.48023036684768*x0 + 48.68195707420034*x0**2,49.452976*x0**2 + 52.4289126820496*x0 - 37.54025,9.430462,9,77.29522231952707,0.924584800333219,-0.0977847933199940,1.58378785927707
3,-23.031667130390304 + -20.94613760280923*x0 + 83.02900132873219*x0**2,83.25531*x0**2 - 20.5251855029955*x0 - 23.185307,16.157587,9,96.10665886937937,0.667080974815628,-2.00968841032189,0.272565811519026
4,-43.02433681204067 + -67.13639950655875*x0 + 51.49105205275697*x0**2,51.631195*x0**2 - 67.372086*x0 - 43.305737,15.119251,9,74.52462272968643,0.654048868175874,0.351056200769636,0.272169516170382
5,-30.766399870620774 + -16.400469777631372*x0 + -3.1911261103098525*x0**2,-25.5007359739862*(0.264052407009324*x0 + 1)**2.4321783 - 5.3052354,0.71788275,7,3.892007779215166,-82.7563984661526,-100.000000000000,-100.000000000000
6,-6.837804060884395 + -14.696682924852226*x0 + 94.66314080401699*x0**2,93.7523438085952*x0**2 - 14.864543801095*x0 - 6.4924283,26.522335,9,128.50126661529114,-5.05097481309992,1.14216845461737,-0.962145337336121
7,76.24291615003318 + -14.143233858869038*x0 + 5.159943582929188*x0**2,78.73458 - 14.361931*x0,24.806276,5,3348.8420749995266,3.26805948117677,1.54630223408078,-100.000000000000
8,85.69167052232137 + -41.361914861753405*x0 + 67.95654272327369*x0**2,84.95892*0.29483485**x0 + 84.95892*x0,136.43568,7,29345.491984198332,-100.000000000000,-305.403739850932,-100.000000000000
9,6.7076936102524485 + 96.21634591517909*x0 + 99.01297030605824*x0**2,108.6169*x0**2 + 97.45702402443*x0,117.5358,7,15964.48341497653,-100.000000000000,1.28946708321749,9.69966830027938
