ID,loss,complexity,MSE,picked_equation,substituted_form
0,2.256848e-13,27,3.0059067842713043e-12,-5.34429811214622e-17*x0**6 + 3.40207646997359e-12*x0**4 - 1.41425656214578e-7*x0**2 + 2.14718948376436e-5*x0,-5.34429811214622e-17*f**6 + 3.40207646997359e-12*f**4 - 1.41425656214578e-7*f**2 + 2.14718948376436e-5*f
1,5.9955675e-13,17,5.396529993338952e-12,5.0316526209931e-10*x0**3 - 1.6800473e-7*x0**2 + 2.1985803e-5*x0 - 2.5947454303546e-6,5.0316526209931e-10*f**3 - 1.6800473e-7*f**2 + 2.1985803e-5*f - 2.5947454303546e-6
2,1.1634616e-12,15,1.0471757546391656e-11,2.3640113e-12*x0**4 - 1.336635e-7*x0**2 + 2.1201718e-5*x0,2.3640113e-12*f**4 - 1.336635e-7*f**2 + 2.1201718e-5*f
3,2.8262614e-13,15,2.5437188608637206e-12,5.48666274962454e-10*x0**3 - 1.75895459497116e-7*x0**2 + 2.23693288390471e-5*x0 - 6.9394108824872e-6,5.48666274962454e-10*f**3 - 1.75895459497116e-7*f**2 + 2.23693288390471e-5*f - 6.9394108824872e-6
4,1.1127305e-12,17,1.001516424225948e-11,2.4013473329437e-12*x0**4 - 1.3436569e-7*x0**2 + 2.1236108e-5*x0,2.4013473329437e-12*f**4 - 1.3436569e-7*f**2 + 2.1236108e-5*f
5,3.1186978e-13,21,2.806972195644966e-12,-5.8180922253306e-17*x0**6 + 3.478038e-12*x0**4 - 1.4177121e-7*x0**2 + 2.1474136e-5*x0,-5.8180922253306e-17*f**6 + 3.478038e-12*f**4 - 1.4177121e-7*f**2 + 2.1474136e-5*f
6,1.1148956e-12,15,1.0034205683835517e-11,2.4212969156946e-12*x0**4 - 1.346787746826e-7*x0**2 + 2.1249147e-5*x0,2.4212969156946e-12*f**4 - 1.346787746826e-7*f**2 + 2.1249147e-5*f
7,1.4480084e-12,11,1.303221453226452e-11,4.782333e-10*x0**3 - 1.6394213e-7*x0**2 + 2.1791506e-5*x0,4.782333e-10*f**3 - 1.6394213e-7*f**2 + 2.1791506e-5*f
8,2.9081577e-13,15,2.617346999072035e-12,5.47193130421104e-10*x0**3 - 1.75649466672531e-7*x0**2 + 2.23623001119964e-5*x0 - 7.15565013453257e-6,5.47193130421104e-10*f**3 - 1.75649466672531e-7*f**2 + 2.23623001119964e-5*f - 7.15565013453257e-6
9,2.349082e-13,17,2.1144868824218563e-12,5.24588329452224e-10*x0**3 - 1.71854800992018e-7*x0**2 + 2.21801682935353e-5*x0 - 4.9310754399712e-6,5.24588329452224e-10*f**3 - 1.71854800992018e-7*f**2 + 2.21801682935353e-5*f - 4.9310754399712e-6
