ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
18,-39.20105324415735 + 57.83611884430999*x0 + -59.98894091958349*x0**2 + -54.212681399589925*x0**3,-54.212682953022*x0**3 - 59.98894*x0**2 + 57.8361205095564*x0 - 39.201054,1.6207195e-11,15,3.9537544526349245e-10,1.92811821714687e-6,2.87924991249758e-6,-1.53292169843991e-6,2.86544039304672e-6,0
19,-75.75336577150688 + 49.07726774171445*x0 + 49.3119283465868*x0**2 + 67.208660161061*x0**3,67.208664*x0**3 + 49.311928*x0**2 + 49.077267*x0 - 75.753365,3.2680234e-11,13,3.0864113536421696e-09,-1.01844567341041e-6,-1.51131977342099e-6,-7.02845754445838e-7,5.71197072676306e-6,0
20,72.67712733701359 + -30.91547409027342*x0 + -51.90818450765144*x0**2 + -43.06588479970897*x0**3,0.032816418**x0 - 60.0703*3.9463048**x0 + 51.716507*x0 + 131.71689768875,0.18023436,15,180.23439276728146,81.2356961743426,-267.283564369699,-100.000000000000,-100.000000000000,1
21,-94.09557680041615 + 18.246467381222416*x0 + -97.40422972539558*x0**2 + -95.63541623348524*x0**3,-95.635414*x0**3 - 97.4042292360956*x0**2 + 18.246465213409*x0 - 94.09557,5.861511e-11,13,4.994006100443968e-08,-7.22713690730104e-6,-1.18807292949778e-5,-5.02339573859036e-7,-2.33541645488644e-6,0
22,-1.9929818971391882 + 66.05171622767284*x0 + -6.998493430740211*x0**2 + -28.74002094055625*x0**3,-28.740026*x0**3 - 6.9984946*x0**2 + 66.05172*x0 - 1.9929818,3.5444581e-12,15,1.1995379872339847e-09,-4.87406274929823e-6,5.71117205910644e-6,1.67073070814246e-5,1.76041755903030e-5,0
23,7.965992210127126 + 17.319822529609908*x0 + 45.42509423110201*x0**2 + -38.83388115125559*x0**3,-38.83388*x0**3 + 45.4250951142314*x0**2 + 17.3198243587655*x0 + 7.96599124544073,7.5906425e-12,15,4.02536672104084e-09,-1.21100595239455e-5,1.05610530146708e-5,1.94414423944802e-6,-2.96456484520388e-6,0
24,-24.700283521129933 + 81.09781943029304*x0 + 18.954544672838523*x0**2 + 14.427015118451308*x0**3,14.4270192*x0**3 + 18.9545445969449*x0**2 + 81.09782*x0 - 24.700283,1.2027593e-11,17,7.280967511067093e-09,-2.10981357127639e-6,7.02493555796065e-7,-4.00398125638927e-7,2.82910127867981e-5,0
25,67.49401152073068 + -19.482854274021236*x0 + -42.08703654057515*x0**2 + 47.52555793381589*x0**3,47.52556*x0**3 - 42.087039077184*x0**2 - 19.4828547633212*x0 + 67.494013350944,1.4505339e-11,15,1.8213908370815845e-09,2.71166771703722e-6,2.51143881291542e-6,6.02705501510113e-6,4.34752204701517e-6,0
26,49.75552912439463 + 75.19570912274799*x0 + 64.15389759060452*x0**2 + -56.44721419286496*x0**3,-56.447216*x0**3 + 64.1539*x0**2 + 75.19571*x0 + 49.755527,2.2453605e-11,13,1.7948825594869263e-09,-4.26966542979303e-6,1.16662510480120e-6,3.75564941225182e-6,3.20146009193226e-6,0
27,-78.6084879441386 + 16.089543460601845*x0 + 8.056464586583829*x0**2 + 16.990060733624105*x0**3,16.99006*x0**3 + 8.056463134688*x0**2 + 16.089544*x0 - 78.60849038,5.456968e-12,19,1.0253962770483329e-08,3.09872568197538e-6,3.35247644476236e-6,-1.80215007817501e-5,-4.31796046504200e-6,0
28,-8.733629765238334 + -65.05680086582254*x0 + 16.11232777017311*x0**2 + -7.620639454312794*x0**3,-7.6206393*x0**3 + 16.112326*x0**2 - 65.0568*x0 - 8.733628,8.6606755e-12,13,1.6506290780383103e-09,-2.02119666349798e-5,-1.33087168601537e-6,-1.09864517130345e-5,-2.02493236253483e-6,0
29,-60.67331040196979 + 61.6211592553245*x0 + 27.827448946363447*x0**2 + -56.874764955795*x0**3,-56.874760887663*x0**3 + 27.827448089526*x0**2 + 61.621155*x0 - 60.673310718021,1.1401426e-11,15,1.8831981329143054e-09,5.20906481689111e-7,-6.90562227249227e-6,-3.07910885791715e-6,-7.15278912065598e-6,0
