Hz,voltage_MSE,voltage_eqn,dv_dt_eqn
9,0.0025554741039856936,-0.300561180715359*sin(56.6441873916032*x0 + 1.57540579546563) - 0.0496484756675223,-17.0250438430823*cos(56.6441873916032*x0 + 1.57540579546563)
99,0.00014348987217804976,0.29870248373495*sin(629.17181266733*x0 - 1.51121976488663) - 0.0496793128890372,187.935183139752*cos(629.17181266733*x0 - 1.51121976488663)
