num_terms_removed,MSE,actual_eqn,removed_terms,full_eqn
0,6.917881895926907e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009,[],1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
num_terms_removed,MSE,actual_eqn,removed_terms,full_eqn
0,6.917881895926907e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009,[],1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
1,0.00014565992715640387,2.3874766*dx*p_val*x + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009,[dx*x**2],1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
1,0.00014565992715640387,2.3874766*dx*p_val*x + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009,[dx*x**2],1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
2,0.00297387073624283,3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009,"[dx*x**2, dx*x]",1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
2,0.00297387073624283,3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009,"[dx*x**2, dx*x]",1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
3,0.003581098351268059,3.3564444*dx - 0.24831903*p_val*x - 0.017753009,"[dx*x**2, dx*x, x**2]",1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
3,0.003581098351268059,3.3564444*dx - 0.24831903*p_val*x - 0.017753009,"[dx*x**2, dx*x, x**2]",1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
