ID,picked_equation,loss,complexity,MSE,%diff_to_set
0,x0*97.43619,0.2270092,3,0.9399538679250042,-0.0445702962175353
1,x0*(-20.979452),0.01097261,3,0.0005908589519363542,-0.00519196044226604
2,x0*5.0704384,0.0006398651,3,0.004069222873124886,-0.0563471040080926
3,x0*(-66.7749),0.10482634,3,0.20562878746774046,0.0304415702626753
4,x0*53.499676,0.07910407,3,0.026025730848976147,-0.0135113201957891
5,x0*(-55.261158),0.07978659,3,0.009559002909429544,0.00792915493395991
6,x0*35.330795,0.03000127,3,0.00694548805809528,-0.0105695919900643
7,x0/0.013653592,0.13102655,3,0.026706181000618747,-0.00999805555848594
8,x0*(-2.7907186),0.0001881629,3,0.000236334010748685,-0.0246800492644271
9,x0*(-60.479477),0.09585897,3,0.01145401210389259,0.00793069753828923
