point_id,measurementpart_id,t,x,y,z,q,statusbyte
1,1,4.99999987368938e-05,4.99999987368938e-05,1.31108350842624e-07,-0.350487858057022,6.5554173765274e-12,344064
2,1,9.99999974737875e-05,9.99999974737875e-05,-5.28712917002849e-07,-0.34955507516861,-1.98802278057945e-11,344064
3,1,0.000149999996210681,0.000149999996210681,1.56007274654257e-07,-0.350176960229874,-1.20798642701354e-11,344064
4,1,0.000199999994947575,0.000199999994947575,5.64116078294319e-08,-0.34955507516861,-9.25928394991763e-12,344064
5,1,0.000249999993684469,0.000249999993684469,1.26400914268743e-06,-0.349244177341461,5.39411715878759e-11,344064
6,1,0.000299999992421363,0.000299999992421363,2.01097668650618e-06,-0.348933219909668,1.54490003373108e-10,344064
7,1,0.000349999991158256,0.000349999991158256,1.66239180998673e-06,-0.34955507516861,2.37609591772667e-10,344064
8,1,0.00039999998989515,0.00039999998989515,2.55875283983187e-06,-0.349244177341461,3.65547230532284e-10,344064
9,1,0.000449999988632044,0.000449999988632044,3.28082114720019e-06,-0.34862232208252,5.29588283748267e-10,344064
10,1,0.000499999987368938,0.000499999987368938,4.12738427257864e-06,-0.348933219909668,7.35957492163874e-10,344064
11,1,0.000549999986105831,0.000549999986105831,5.77071295992937e-06,-0.348000437021255,1.02449313287132e-09,344064
12,1,0.000599999984842725,0.000599999984842725,6.11929772276198e-06,-0.348000437021255,1.3304580112801e-09,344064
13,1,0.000649999983579619,0.000649999983579619,6.08194977758103e-06,-0.348311364650726,1.634555492477e-09,344064
14,1,0.000699999982316513,0.000699999982316513,8.3602008089656e-06,-0.346445769071579,2.05256552236546e-09,344064
15,1,0.000749999981053406,0.000749999981053406,7.8871207733755e-06,-0.346756726503372,2.44692155107196e-09,344064
16,1,0.0007999999797903,0.0007999999797903,9.31880913412897e-06,-0.345823913812637,2.91286199600776e-09,344064
17,1,0.000849999978527194,0.000849999978527194,1.0750495675893e-05,-0.345202058553696,3.4503867662234e-09,344064
18,1,0.000899999977264088,0.000899999977264088,1.14601161840255e-05,-0.344580173492432,4.02339256094933e-09,344064
19,1,0.000949999976000981,0.000949999976000981,1.26926115626702e-05,-0.343336492776871,4.65802312305072e-09,344064
20,1,0.000999999974737875,0.000999999974737875,1.33773319248576e-05,-0.343025535345078,5.32688970239661e-09,344064
21,1,0.00104999997347477,0.00104999997347477,1.48214694490889e-05,-0.342403680086136,6.06796315612996e-09,344064
22,1,0.00109999997221166,0.00109999997221166,1.58174261741806e-05,-0.342092782258987,6.8588344448599e-09,344064
23,1,0.00114999997094856,0.00114999997094856,1.67511334439041e-05,-0.34022718667984,7.69639109589665e-09,344064
24,1,0.00119999996968545,0.00119999996968545,1.82575204235036e-05,-0.339605331420898,8.60926709401064e-09,344064
25,1,0.00124999996842234,0.00124999996842234,1.90044884220697e-05,-0.339605331420898,9.55949149110944e-09,344064
26,1,0.00129999996715924,0.00129999996715924,1.96643068193225e-05,-0.338983446359634,1.05427068072375e-08,344064
27,1,0.00134999996589613,0.00134999996589613,2.18056156882085e-05,-0.337428778409958,1.16329875641051e-08,344064
28,1,0.00139999996463303,0.00139999996463303,2.336179750273e-05,-0.335563242435455,1.28010774097331e-08,344064
29,1,0.00144999996336992,0.00144999996336992,2.39842702285387e-05,-0.334008544683456,1.40002908908654e-08,344064
30,1,0.00149999996210681,0.00149999996210681,2.48681826633401e-05,-0.33463042974472,1.52436999926212e-08,344064
31,1,0.00154999996084371,0.00154999996084371,2.67231498582987e-05,-0.333386689424515,1.6579857451782e-08,344064
32,1,0.0015999999595806,0.0015999999595806,2.74950161838206e-05,-0.331832051277161,1.79546082262439e-08,344064
33,1,0.00164999995831749,0.00164999995831749,2.91507967631333e-05,-0.330588340759277,1.941214802758e-08,344064
34,1,0.00169999995705439,0.00169999995705439,3.07816771965008e-05,-0.329966455698013,2.09512318485245e-08,344064
35,1,0.00174999995579128,0.00174999995579128,3.06696274492424e-05,-0.329033702611923,2.24847131822476e-08,344064
36,1,0.00179999995452818,0.00179999995452818,3.33462630806025e-05,-0.327168107032776,2.41520262941579e-08,344064
37,1,0.00184999995326507,0.00184999995326507,3.4055883588735e-05,-0.326235294342041,2.58548204305784e-08,344064
38,1,0.00189999995200196,0.00189999995200196,3.62220889655873e-05,-0.324680656194687,2.76659248331055e-08,344064
39,1,0.00194999995073886,0.00194999995073886,3.72553913621232e-05,-0.323126018047333,2.95286943541541e-08,344064
40,1,0.00199999994947575,0.00199999994947575,3.87493273592554e-05,-0.321882277727127,3.14661606731724e-08,344064
41,1,0.00204999994821264,0.00204999994821264,4.05793980462477e-05,-0.319083899259567,3.34951305242287e-08,344064
42,1,0.00209999994694954,0.00209999994694954,4.12143199355341e-05,-0.317840158939362,3.55558464689473e-08,344064
43,1,0.00214999994568643,0.00214999994568643,4.36793161497917e-05,-0.316907376050949,3.77398122212653e-08,344064
44,1,0.00219999994442333,0.00219999994442333,4.45134282927029e-05,-0.314730882644653,3.99654835796752e-08,344064
45,1,0.00224999994316022,0.00224999994316022,4.62688003608491e-05,-0.314109027385712,4.22789235392753e-08,344064
46,1,0.00229999994189711,0.00229999994189711,4.80739727208856e-05,-0.311932504177094,4.4682622114597e-08,344064
47,1,0.00234999994063401,0.00234999994063401,4.9306469009025e-05,-0.310377836227417,4.7147945502769e-08,344064
48,1,0.0023999999393709,0.0023999999393709,5.12610349687748e-05,-0.308823198080063,4.97109971864596e-08,344064
49,1,0.00244999993810779,0.00244999993810779,5.33151942363475e-05,-0.307579457759857,5.23767568309342e-08,344064
50,1,0.00249999993684469,0.00249999993684469,5.42613524885383e-05,-0.304159224033356,5.50898243868232e-08,344064
51,1,0.00254999993558158,0.00254999993558158,5.5456501286244e-05,-0.303537368774414,5.7862649381088e-08,344064
52,1,0.00259999993431848,0.00259999993431848,5.76102574996185e-05,-0.301671773195267,6.0743162183301e-08,344064
53,1,0.00264999993305537,0.00264999993305537,5.87556096434128e-05,-0.299806207418442,6.36809425912571e-08,344064
54,1,0.00269999993179226,0.00269999993179226,6.1245504184626e-05,-0.297318756580353,6.67432177231288e-08,344064
55,1,0.00274999993052916,0.00274999993052916,6.20298160356469e-05,-0.29638597369194,6.98447084465609e-08,344064
56,1,0.00279999992926605,0.00279999992926605,6.40839789411984e-05,-0.29327666759491,7.3048907312676e-08,344064
57,1,0.00284999992800294,0.00284999992800294,6.5826898207888e-05,-0.291411101818085,7.6340252139924e-08,344064
58,1,0.00289999992673984,0.00289999992673984,6.77939169690944e-05,-0.289545506238937,7.97299479027478e-08,344064
59,1,0.00294999992547673,0.00294999992547673,6.90513115841895e-05,-0.287990838289261,8.31825133947381e-08,344064
60,1,0.00299999992421363,0.00299999992421363,7.07319850334898e-05,-0.285814344882965,8.67191125570706e-08,344064
61,1,0.00304999992295052,0.00304999992295052,7.27861406630836e-05,-0.283948749303818,9.03584194982882e-08,344064
62,1,0.00309999992168741,0.00309999992168741,7.42053816793486e-05,-0.2817722260952,9.40686884885263e-08,344064
63,1,0.00314999992042431,0.00314999992042431,7.56744193495251e-05,-0.279906660318375,9.78524093604177e-08,344064
64,1,0.0031999999191612,0.0031999999191612,7.79900219640695e-05,-0.277108281850815,1.01751910360112e-07,344064
65,1,0.00324999991789809,0.00324999991789809,7.96955937403254e-05,-0.274931758642197,1.05736689946464e-07,344064
66,1,0.00329999991663499,0.00329999991663499,8.12268845038489e-05,-0.272133409976959,1.09798034069058e-07,344064
