ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-72.69993264406338 + 46.07435027905842*x0 + -65.81862645547405*x0**2,-45.8138509931985*2.7526832**(sqrt(x0**2 + 1)) + 44.8138509931985*x0 + atan(sinh(sinh(x0*Abs(x0 + asin(x0) - 1.3276232)))) + 53.4373032867773,0.0049253586,26,4.925512371337016,-173.503924066071,-2.73579394657869,-100.000000000000
1,-85.40000059654653 + -81.27253101428069*x0 + 71.88132481341546*x0**2,71.881325*x0**2 - 81.27253*x0 - 85.4,2.118221e-11,9,9.842517362029298e-10,-6.98532228997968e-7,-1.24799938142974e-6,2.59573044675519e-7
2,56.57316886494547 + -91.71819017750795*x0 + 54.8978652228665*x0**2,54.897865*x0**2 - 91.71819*x0 + 56.57317,2.7532223e-11,9,1.068965671400069e-09,2.00634779314954e-6,-1.93536246434266e-7,-4.05965689026615e-7
3,12.590555708967031 + 75.26077788576652*x0 + -41.999601048055204*x0**2,-41.9996*x0**2 + 75.260778*x0 + 12.590554,9.655874e-12,13,1.5536694323215926e-09,-1.35734043150378e-5,1.51783558287603e-7,-2.49539323555182e-6
4,-82.71688991199491 + -38.73098075002546*x0 + 16.991267127492463*x0**2,16.991264*x0**2 - 38.73098*x0 - 82.71689,7.366907e-12,9,4.229758507677197e-09,1.06393137919924e-7,-1.93650003776928e-6,-1.84064698581541e-5
5,-87.92725954348322 + 33.21752224255249*x0 + 46.80742122311571*x0**2,46.807423*x0**2 + 33.21752*x0 - 87.92725860655,9.535597e-12,11,6.273444158789364e-09,-1.06557764210274e-6,-6.75111308422532e-6,3.79615933339722e-6
6,-69.68423698533357 + -26.628710859629052*x0 + 59.84065174224287*x0**2,59.840652*x0**2 - 26.628712*x0 - 69.684237,8.3170155e-12,11,6.712219888758215e-10,2.10469783844355e-8,4.28248650077529e-6,4.30739174647503e-7
7,41.506023908322106 + -49.535535594346115*x0 + 64.97033185674209*x0**2,64.97033*x0**2 - 49.535538*x0 + 41.506023,1.997978e-11,9,6.6100776379086585e-09,-2.18841031199049e-6,4.85642046418880e-6,-2.85783069751594e-6
8,45.19589735544585 + -86.87415955180164*x0 + -28.904971021603274*x0**2,-28.90497*x0**2 - 86.87416*x0 + 45.195896,1.3652309e-11,9,9.452764081176548e-10,-2.99904622464939e-6,5.15916776712917e-7,-3.53435149303873e-6
9,3.061455946180061 + 97.01748667313768*x0 + 24.6757545405913*x0**2,24.675756*x0**2 + 97.01749*x0 + 3.0614557,1.0174915e-11,9,5.973166045734122e-09,-8.04127400665045e-6,3.42913677402867e-6,5.91434275354832e-6
