Eqn,MSE_1,MSE_2
0,1.6021067882878272e-07,0.0010138701423836405
1,1.5344704641604624e-07,0.0010150693928841316
2,1.424237631906875e-07,0.0010625620627734871
3,1.7095769631161378e-07,0.001012212390373307
4,1.87228478134937e-07,0.0010144279995569585
5,1.7296555816548602e-07,0.0010607235257419458
6,1.3147679304907026e-07,0.00106410157706584
7,9.162939098712949e-08,0.0010182538795722015
8,1.6930350971496136e-07,0.001051973502324253
9,1.7370101847051427e-07,0.0010128215685778505
