ID,loss,complexity,MSE,picked_equation,substituted_form
0,2.3294628e-07,17,2.0968293186679514e-06,-2.3485184e-7*x0**3 + 9.674632e-5*x0**2 - 0.015683176*x0 - 0.051445313,-2.3485184e-7*f**3 + 9.674632e-5*f**2 - 0.015683176*f - 0.051445313
1,2.9403967e-07,13,2.6463974093724116e-06,-2.2872128e-7*x0**3 + 9.556733e-5*x0**2 - 0.015618755*x0 - 0.052294444,-2.2872128e-7*f**3 + 9.556733e-5*f**2 - 0.015618755*f - 0.052294444
2,2.1698621e-07,17,1.9528975587178416e-06,-2.42878449690657e-7*x0**3 + 9.80898803094926e-5*x0**2 - 0.015741758*x0 - 0.051061638,-2.42878449690657e-7*f**3 + 9.80898803094926e-5*f**2 - 0.015741758*f - 0.051061638
3,2.4239228e-07,13,2.1815883309504652e-06,-2.3758717e-7*x0**3 + 9.703677e-5*x0**2 - 0.015680715*x0 - 0.051957533,-2.3758717e-7*f**3 + 9.703677e-5*f**2 - 0.015680715*f - 0.051957533
4,2.2243934e-07,15,2.0020473863165157e-06,-2.38307664793833e-7*x0**3 + 9.7387058723196e-5*x0**2 - 0.01571317*x0 - 0.0512727,-2.38307664793833e-7*f**3 + 9.7387058723196e-5*f**2 - 0.01571317*f - 0.0512727
5,2.1362065e-07,19,1.9421278253868857e-06,-2.4230353191363e-7*x0**3 + 9.801045e-5*x0**2 - 0.0157408999999999*x0 - 0.050952535,-2.4230353191363e-7*f**3 + 9.801045e-5*f**2 - 0.0157408999999999*f - 0.050952535
6,2.1610774e-07,13,1.945174926134876e-06,-2.428485e-7*x0**3 + 9.8053315e-5*x0**2 - 0.015738543*x0 - 0.05112224,-2.428485e-7*f**3 + 9.8053315e-5*f**2 - 0.015738543*f - 0.05112224
7,2.4198388e-07,13,2.177921070972873e-06,-2.3255141e-7*x0**3 + 9.641236e-5*x0**2 - 0.015670132*x0 - 0.051577404,-2.3255141e-7*f**3 + 9.641236e-5*f**2 - 0.015670132*f - 0.051577404
8,3.2096509e-07,13,2.8886050053314385e-06,-2.240731e-7*x0**3 + 9.5083196e-5*x0**2 - 0.015612021*x0 - 0.052281547,-2.240731e-7*f**3 + 9.5083196e-5*f**2 - 0.015612021*f - 0.052281547
9,2.1708009e-07,13,1.9538668399442128e-06,-2.4153482e-7*x0**3 + 9.779879e-5*x0**2 - 0.015724195*x0 - 0.051294796,-2.4153482e-7*f**3 + 9.779879e-5*f**2 - 0.015724195*f - 0.051294796
