ID,picked_equation,loss,complexity,MSE,%diff_to_set
0,x0*76.32665,15.217242,3,5.287517660784262,-0.134824846940330
1,x0*43.61375,4.3877645,3,5.941073169286681,0.251075429779956
2,x0*81.32221,15.877703,3,0.30965450621039853,0.0306738915830465
3,x0*(-99.12205),25.83332,3,60.52243511187203,-0.350484862268031
4,x0*35.095264,3.1755512,3,4.695302180879213,0.277455103607811
5,x0*77.60481,15.656889,3,2.1782731472928405,-0.0851537360943840
6,x0*(-71.58653),11.95475,3,2.984070674960656,-0.108021451844080
7,x0/(-0.030878082),2.6363115,3,3.008352374485358,-0.239430648318779
8,x0*66.74336,11.097728,3,0.2748835155324052,-0.0351900254325647
9,63.756*x0,9.707001,3,13.19054847058145,0.255933185828304
