ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-4.748538207664993 + 92.36583713727094*x0 + -92.5808165244539*x0**2,-92.57722*x0**2 + 92.36159*x0 - 4.748532,0.0084521305,9,0.013962362534794263,-0.000130727915017880,-0.00459816897953864,-0.00388474047746939
1,-75.64541546311479 + -19.873836030591363*x0 + 9.016545514294364*x0**2,cosh(x0 + sin(sin(x0 + 5.4826503)) - 2.6045313) - 88.810875,0.053958066,12,4.774136595049702,17.4041737444152,-100.000000000000,-100.000000000000
2,7.662548292496169 + -50.65562113406041*x0 + -97.20754449611005*x0**2,-97.20156*x0**2 - 50.65579*x0 + 7.661649,0.0050912565,9,0.008821619574817079,-0.0117362065704657,0.000333360712615718,-0.00615641115210429
3,-45.003631146008736 + 14.278456693608959*x0 + 41.514211721777286*x0**2,41.518055*x0**2 + 14.2847*x0 - 45.0082,0.0028439274,9,0.028374452543149097,0.0101521896676359,0.0437253585945067,0.00925774105616555
4,35.80742200151715 + -55.59694400772983*x0 + 78.06440754116878*x0**2,78.14128*x0**2 - 55.619156*x0 + 35.777718,0.7209513,9,1.0654475513918722,-0.0829548731988991,0.0399518222927449,0.0984731214294786
5,16.09534983049103 + -83.30935281762628*x0 + 69.99255868168348*x0**2,17.015947**x0 - x0 + cosh(6.040406**x0 + 0.94539446*x0 - 5.1330023) - 15.958382,0.80772734,18,79.82774472001806,-199.149022345376,-98.7996545811740,-100.000000000000
6,-82.06609710700249 + 43.68094801340922*x0 + -49.24381139556302*x0**2,43.659313*x0 - 43.659313*exp(cosh(0.91990465*asinh(x0))) + 36.640076,0.134021,12,2.5297081429457524,-144.647031224388,-0.0495296333829162,-100.000000000000
7,-98.50678447242032 + 74.37441571549536*x0 + -55.232185732698234*x0**2,-55.212704*x0**2 + 74.39598*x0 - 98.50809,0.15074295,9,0.3459663841952547,0.00132531742525818,0.0289942237490975,-0.0352724275525063
8,86.73928624291699 + -71.00257698106189*x0 + -60.003365950848654*x0**2,179.89142 - cosh(tanh(x0 - 0.27840826) - tanh(tanh(x0 + 1.1949878)) + 9.883169)/(-2.11071531102176*exp(tan(x0))*exp(-tanh(x0)) + 42.875347),0.41379696,26,105.67852612964259,107.393244505387,-100.000000000000,-100.000000000000
9,54.06912402160185 + -95.76793114709758*x0 + 65.17889097919269*x0**2,65.07436*x0**2 - 95.87701547138*x0 + 54.21371,1.1815296,9,15.908060482275964,0.267409507763400,0.113904856224632,-0.160375510571449
