Hz,frequency,amplitude,phase
9,9.015202420797262,0.00018125905928723522,-0.18522715016487357
36,36.35883341014186,0.0005996593066894686,-0.5048637841899694
45,45.299530405246855,0.0006963825716811757,-0.5853706610589925
54,54.24022669376679,0.0007768178674810686,-0.6560505668329468
63,63.18092344271229,0.0008415567478909837,-0.7151673371292299
72,72.12161922824177,0.0008974460623695709,-0.7666875706181837
81,81.06231654225752,0.0009435386368867221,-0.8118390553155358
90,90.59906087572315,0.0009840792081931113,-0.8532648177867987
99,100.13580404009346,0.0010197571126064854,-0.8875850118354752

