ID,loss,complexity,MSE,picked_equation,substituted_form
0,4.1125068e-13,25,2.1534649852154083e-07,5.527314e-5*x0**2 - 1.9142703e-6*x0*x1*x4 + 5.527314e-5*x0*x1 + 4.825829e-6*x0*x3 + 0.000133016044001022*x0 - 1.9142703e-6*x1**2*x4 + 4.825829e-6*x1*x3 + 0.000133016044001022*x1 + 1.0451995e-5*x3 - 2.5442814e-6,-1.9142703e-6*dx**2*x**4 - 1.9142703e-6*dx**2*x**3 + 4.825829e-6*dx*x**2 + 4.825829e-6*dx*x + 1.0451995e-5*dx + 5.527314e-5*x**3 + 0.000188289184001022*x**2 + 0.000133016044001022*x - 2.5442814e-6
1,7.598095e-13,23,3.9786570933274414e-07,0.000137569080335859*x0**3 + 3.27660133424694e-6*x0**2*x3 + 0.000194645487512921*x0**2 + 4.63603930863625e-6*x0*x3 + 0.000120967163485579*x0 + 1.04905847448369e-5*x3 - 2.28115465707591e-6,3.27660133424694e-6*dx*x**2 + 4.63603930863625e-6*dx*x + 1.04905847448369e-5*dx + 0.000137569080335859*x**3 + 0.000194645487512921*x**2 + 0.000120967163485579*x - 2.28115465707591e-6
2,8.184238e-13,25,4.285578708735176e-07,0.00012267058*x0*x1 + 4.8030956e-6*x0*x3 + 0.00012267058*x0 + 4.30731465631764e-6*x1*x3 + 0.00019806557452083*x1 + 1.0466395e-5*x3 - 2.53042222739472e-6,4.30731465631764e-6*dx*x**2 + 4.8030956e-6*dx*x + 1.0466395e-5*dx + 0.00012267058*x**3 + 0.00019806557452083*x**2 + 0.00012267058*x - 2.53042222739472e-6
3,6.5314307e-13,23,3.420104749924654e-07,3.49004718609227e-5*x0**2 + 8.87147553701249e-5*x0*x1 + 5.38142835092022e-5*x0*x2 + 4.7765907e-6*x0*x3 + 0.000117794072635789*x0 + 5.38142835092022e-5*x1**2 + 5.38142835092022e-5*x1*x2 + 4.7765907e-6*x1*x3 + 0.00015920055592001*x1 + 0.000117811273159148*x2 + 1.0457005e-5*x3 - 2.33160945572057e-6,4.7765907e-6*dx*x**2 + 4.7765907e-6*dx*x + 1.0457005e-5*dx + 5.38142835092022e-5*x**5 + 0.000107628567018404*x**4 + 0.000206526028529273*x**3 + 0.000194101027780933*x**2 + 0.000117794072635789*x - 2.33160945572057e-6
4,4.1936696e-13,25,2.1959665990120164e-07,5.678973e-5*x0**2 - 1.6962259e-6*x0*x1*x3**2 + 5.678973e-5*x0*x1 + 4.846029e-6*x0*x3 + 0.00013208229*x0 - 1.6962259e-6*x1**2*x3**2 + 4.846029e-6*x1*x3 + 0.00013208229*x1 + 1.0460488e-5*x3 - 2.4566825e-6,-1.6962259e-6*dx**2*x**4 - 1.6962259e-6*dx**2*x**3 + 4.846029e-6*dx*x**2 + 4.846029e-6*dx*x + 1.0460488e-5*dx + 5.678973e-5*x**3 + 0.00018887202*x**2 + 0.00013208229*x - 2.4566825e-6
5,6.4034753e-13,25,3.3531029194322603e-07,8.248195e-5*x0**2 + 0.00025907008*x0*x1 + 4.8085185e-6*x0*x3 + 0.000114742244259046*x0 + 0.00017658813*x1**2 + 4.8085185e-6*x1*x3 + 0.000114742244259046*x1 + 1.04559385e-5*x3 - 2.5672975e-6,4.8085185e-6*dx*x**2 + 4.8085185e-6*dx*x + 1.04559385e-5*dx + 0.00017658813*x**4 + 0.00025907008*x**3 + 0.000197224194259046*x**2 + 0.000114742244259046*x - 2.5672975e-6
6,5.5308975e-13,23,2.8961886551697473e-07,0.000209424728358272*x0**2 + 0.000209424728358272*x0*x1 + 4.8600703133856e-6*x0*x3 + 0.000117266194*x0 + 4.8600703133856e-6*x1*x3 + 1.0457536e-5*x3 - 2.6805774e-6,4.8600703133856e-6*dx*x**2 + 4.8600703133856e-6*dx*x + 1.0457536e-5*dx + 0.000209424728358272*x**3 + 0.000209424728358272*x**2 + 0.000117266194*x - 2.6805774e-6
7,9.091623e-13,23,4.7607187054475845e-07,7.3636575522917e-5*x0**2 + 0.000147273151045834*x0*x1 + 4.80676112597915e-6*x0*x3 + 0.000120638628934733*x0 + 7.3636575522917e-5*x1**2 + 4.80676112597915e-6*x1*x3 + 0.000120638628934733*x1 + 1.0463086e-5*x3 - 2.4620333e-6,4.80676112597915e-6*dx*x**2 + 4.80676112597915e-6*dx*x + 1.0463086e-5*dx + 7.3636575522917e-5*x**4 + 0.000147273151045834*x**3 + 0.00019427520445765*x**2 + 0.000120638628934733*x - 2.4620333e-6
8,9.14762e-13,21,4.790039108979659e-07,7.15266950835368e-5*x0**2 + 0.000143053390167074*x0*x1 + 4.7749567891403e-6*x0*x3 + 0.000121731137650742*x0 + 7.15266950835368e-5*x1**2 + 4.7749567891403e-6*x1*x3 + 0.000121731137650742*x1 + 1.04551955e-5*x3 - 2.2113127e-6,4.7749567891403e-6*dx*x**2 + 4.7749567891403e-6*dx*x + 1.04551955e-5*dx + 7.15266950835368e-5*x**4 + 0.000143053390167074*x**3 + 0.000193257832734279*x**2 + 0.000121731137650742*x - 2.2113127e-6
9,8.782246e-13,25,4.598722225453646e-07,7.70613262559216e-5*x0**2 + 0.000154122652511843*x0*x1 + 4.86341997499696e-6*x0*x3 + 0.000121222476248177*x0 + 7.70613262559216e-5*x1**2 + 4.86341997499696e-6*x1*x3 + 0.000121222476248177*x1 + 1.045808e-5*x3 - 2.6348185057952e-6,4.86341997499696e-6*dx*x**2 + 4.86341997499696e-6*dx*x + 1.045808e-5*dx + 7.70613262559216e-5*x**4 + 0.000154122652511843*x**3 + 0.000198283802504098*x**2 + 0.000121222476248177*x - 2.6348185057952e-6
