point_id,measurementpart_id,t,x,y,z,q,statusbyte
1,1,6.09999988228083e-05,6.09999988228083e-05,-3.17072135658236e-07,-0.349866032600403,-1.93413999018977e-11,344064
2,1,0.000121999997645617,0.000121999997645617,-5.28712917002849e-07,-0.349866032600403,-5.1592887216675e-11,344064
3,1,0.000182999996468425,0.000182999996468425,-9.29818924078063e-08,-0.350487858057022,-5.72647825440937e-11,344064
4,1,0.000243999995291233,0.000243999995291233,-4.16667802483062e-07,-0.350176960229874,-8.26815180050626e-11,344064
5,1,0.000304999994114041,0.000304999994114041,1.06209441241845e-07,-0.349866032600403,-7.62027422143389e-11,344064
6,1,0.00036599999293685,0.00036599999293685,-1.02669127954869e-06,-0.350176960229874,-1.38830909058196e-10,344064
7,1,0.000426999991759658,0.000426999991759658,-5.03813964769506e-07,-0.350487858057022,-1.69563560316051e-10,344064
8,1,0.000487999990582466,0.000487999990582466,-6.40758116787765e-07,-0.350798815488815,-2.08649804685809e-10,344064
9,1,0.000548999989405274,0.000548999989405274,-4.16667802483062e-07,-0.350487858057022,-2.34066540146778e-10,344064
10,1,0.000609999988228083,0.000609999988228083,-7.03005355262576e-07,-0.34955507516861,-2.76949865990223e-10,344064
11,1,0.000670999987050891,0.000670999987050891,2.05805122277525e-07,-0.350176960229874,-2.64395753773566e-10,344064
12,1,0.000731999985873699,0.000731999985873699,-2.67274316456678e-07,-0.349866032600403,-2.8069948676279e-10,344064
13,1,0.000792999984696507,0.000792999984696507,-8.15050498204073e-07,-0.34955507516861,-3.30417566193768e-10,344064
14,1,0.000853999983519316,0.000853999983519316,-3.41971031048161e-07,-0.349866032600403,-3.5127779868514e-10,344064
15,1,0.000914999982342124,0.000914999982342124,-1.42779725820219e-07,-0.349866032600403,-3.59987361792095e-10,344064
16,1,0.000975999981164932,0.000975999981164932,-8.05324376074168e-08,-0.349866032600403,-3.64899840391345e-10,344064
17,1,0.00103699997998774,0.00103699997998774,-5.16263469307887e-07,-0.350487858057022,-3.96391911411385e-10,344064
18,1,0.00109799997881055,0.00109799997881055,-2.42375392645044e-07,-0.34955507516861,-4.1117681007741e-10,344064
19,1,0.00115899997763336,0.00115899997763336,-8.02600993665692e-07,-0.350798815488815,-4.60135469746202e-10,344064
20,1,0.00121999997645617,0.00121999997645617,-3.04622687963274e-07,-0.348933219909668,-4.78717453353363e-10,344064
21,1,0.00128099997527897,0.00128099997527897,-5.03813964769506e-07,-0.349866032600403,-5.09450104611217e-10,344064
22,1,0.00134199997410178,0.00134199997410178,1.90632327701223e-08,-0.350798815488815,-5.08287247434681e-10,344064
23,1,0.00140299997292459,0.00140299997292459,-4.6646562168462e-07,-0.350798815488815,-5.36741649808323e-10,344064
24,1,0.0014639999717474,0.0014639999717474,-3.66869983281504e-07,-0.350798815488815,-5.59120718356618e-10,344064
25,1,0.00152499997057021,0.00152499997057021,-5.03813964769506e-07,-0.350176960229874,-5.89853369614473e-10,344064
26,1,0.00158599996939301,0.00158599996939301,-3.79319459398175e-07,-0.350487858057022,-6.12991856191229e-10,344064
27,1,0.00164699996821582,0.00164699996821582,-6.28308612249384e-07,-0.350176960229874,-6.51318680798802e-10,344064
28,1,0.00170799996703863,0.00170799996703863,-4.16667802483062e-07,-0.349244177341461,-6.76735416259771e-10,344064
29,1,0.00176899996586144,0.00176899996586144,-3.41971031048161e-07,-0.34955507516861,-6.97595648751143e-10,344064
30,1,0.00182999996468425,0.00182999996468425,-4.16667802483062e-07,-0.349244177341461,-7.23012384212112e-10,344064
31,1,0.00189099996350706,0.00189099996350706,-4.29117278599733e-07,-0.349244177341461,-7.49188537701543e-10,344064
32,1,0.00195199996232986,0.00195199996232986,-4.78915069379582e-07,-0.34862232208252,-7.78402356369922e-10,344064
33,1,0.00201299996115267,0.00201299996115267,-4.29117278599733e-07,-0.350176960229874,-8.04578509859353e-10,344064
34,1,0.00207399995997548,0.00207399995997548,-4.54016145567948e-07,-0.350798815488815,-8.32273494204534e-10,344064
35,1,0.00213499995879829,0.00213499995879829,1.06209441241845e-07,-0.350487858057022,-8.2579471841381e-10,344064
36,1,0.0021959999576211,0.0021959999576211,-7.15454802957538e-07,-0.34955507516861,-8.69437460551992e-10,344064
37,1,0.00225699995644391,0.00225699995644391,-6.40758116787765e-07,-0.350487858057022,-9.08523704921751e-10,344064
