ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,24.464780428507154 + -69.10447157050162*x0 + -3.1186508954363745*x0**2 + 39.46555999650022*x0**3,39.30377*x0**3 - 3.176464*x0**2 - 69.03562*x0 + 24.506317,1.4039358,13,2.75094847914989,0.169781092514712,-0.0996340308186539,1.85378570741039,-0.409952364832947,0
1,66.86807795772518 + 90.96159925017756*x0 + -88.96855803325232*x0**2 + -89.873270203668*x0**3,-90.97914*x0**3 - 88.68421*x0**2 + 91.763664*x0 + 66.72108,2.7537389,13,48.927884061990774,-0.219832784513576,0.881761926388826,-0.319605082445028,1.23047686350559,0
2,-42.326505201367645 + -1.8656906253638965*x0 + 21.66226915648295*x0**2 + -12.336070447265698*x0**3,-12.393869*x0**3 + 21.682482*x0**2 - 1.8192697*x0 - 42.335133,0.016955351,13,0.16307119674454756,0.0203839145029979,-2.48813628223287,0.0933089851808142,0.468532933411659,0
3,-17.537909145874238 + 8.683604651000664*x0 + 5.4966663570358065*x0**2 + 0.9927258670065413*x0**3,x0**3 + 5.497713*x0**2 + 8.676966*x0 - 17.539385,0.0022128783,11,0.003410615252403264,0.00841522278103794,-0.0764504058795299,0.0190414133987563,0.732743372084487,0
4,-4.864045786160972 + -60.96003678568069*x0 + -79.73071299752232*x0**2 + 48.86709257747262*x0**3,48.864548*x0**3 - 79.7285366270988*x0**2 - 60.94886421492*x0 - 4.8590474,0.010016672,13,0.07993810752103356,-0.102761906049351,-0.0183276968811092,-0.00272965127450991,-0.00520713907541210,0
5,-23.48174277403075 + 50.647480637003184*x0 + 58.765224228939786*x0**2 + -68.09824006536351*x0**3,-67.1473611959966*x0**3 + 58.7859669804194*x0**2 + 49.784462*x0 - 23.6353089491509,1.1429338,15,60.20872299286101,0.653981165699443,-1.70397150292341,0.0352976641403334,-1.39633398521644,0
6,96.60583631594244 + 70.39801564733196*x0 + -16.509129112785104*x0**2 + -22.01719164363989*x0**3,-36.38378**x0 + 67.59257*x0 + 96.228836,9.380367,9,2483.605827238685,-0.390245900578394,-3.98512034967890,-100.000000000000,-100.000000000000,1
7,11.567728149280782 + 8.387166673301792*x0 + 13.504441208210068*x0**2 + -35.782876945580114*x0**3,-35.970444*x0**3 + 13.3276559636858*x0**2 + 8.5245398401413*x0 + 11.673984,1.1121655,13,5.321043693836578,0.918554182359697,1.63789718495523,-1.30908966760322,0.524181034144196,0
8,-15.539583504480547 + -34.42105399370641*x0 + 49.86975508708849*x0**2 + -40.496658034025714*x0**3,-39.740726*x0**3 + 49.90238*x0**2 - 35.02077*x0 - 15.500494,4.501254,13,21.58795111071664,-0.251547954739431,1.74229413893962,0.0654202388893526,-1.86665288130830,0
9,62.22793979114752 + 50.883025217625146*x0 + 6.06443506176042*x0**2 + -62.74585619107413*x0**3,16.941265*x0 + 60.4961087804819/((4.8588**x0 - x0)**(x0 - 0.7900511))**1.3533283,4.173052,17,1497.1548941371516,-100.000000000000,-66.7054682233560,-100.000000000000,-100.000000000000,1
10,-24.434688734650663 + 38.138665560060105*x0 + -98.44845830748716*x0**2 + -13.98970173752889*x0**3,-13.8624328209177*x0**3 - 98.4624861562626*x0**2 + 38.0530474689042*x0 - 24.41794,0.17085285,13,0.6720101625546594,-0.0685449069253359,-0.224491575409511,0.0142489268157375,-0.909732880649848,0
11,-53.00693582386784 + 39.182771129745646*x0 + 74.60388115390631*x0**2 + 93.53987311618175*x0**3,93.42473*x0**3 + 75.104271241622*x0**2 + 39.2081394094152*x0 - 53.0993,9.17716,13,58.377591091156646,0.174249227382369,0.0647434546820290,0.670729297157331,-0.123095223829031,0
12,-58.37254180662783 + -81.98045906609238*x0 + -76.78527412538767*x0**2 + 48.85353278302475*x0**3,48.333096*x0**3 - 76.62921*x0**2 - 81.55085*x0 - 58.488968,0.6990985,13,13.822117189509818,0.199453698209440,-0.524038375713453,-0.203247467910091,-1.06530020118747,0
13,15.802797456404875 + 69.17495186563329*x0 + 10.630377738451742*x0**2 + 96.20291241168852*x0**3,91.483116*x0**3 + 15.7295712866248*x0**2 + 72.8411*x0 + 12.524270325971,19.840939,11,4506.615943035661,-20.7464984568608,5.29982028970241,47.9681312708996,-4.90608474667662,0
14,-13.29130165478307 + 76.43718990633357*x0 + -6.147839162922409*x0**2 + -54.5897469387723*x0**3,-54.441216*x0**3 - 6.20409244748801*x0**2 + 76.296013015792*x0 - 13.284126572284,0.14655282,13,1.9636868569380148,-0.0539832943787622,-0.184696599540841,0.915009047485541,-0.272085780025497,0
15,-48.08962951837976 + 44.923103626639914*x0 + 57.41984973802195*x0**2 + 59.562018379167*x0**3,-0.03583446**x0 - 68.88503 + 23.53835/0.12750837**x0,7.2178054,11,2097.959188395711,43.2430041360004,-100.000000000000,-100.000000000000,-100.000000000000,1
16,84.90088988638831 + 17.78184345479947*x0 + -34.589485221146134*x0**2 + 8.972555072694902*x0**3,28.9162172845532*(2*x0 + 2.9125037)**(0.6263986**x0),3.7894263,11,755.4153864124584,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
17,19.363961441015064 + -90.87171146370612*x0 + 55.24881660254047*x0**2 + -92.75875732295991*x0**3,-91.30923*x0**3 + 54.880873967043*x0**2 - 92.14421*x0 + 19.527328,24.733318,13,100.56568263340247,0.843662901739246,1.40032416667107,-0.665973785727311,-1.56268514671134,0
18,24.165175530879026 + 22.47421142848023*x0 + 97.38883256163331*x0**2 + 65.3901750312665*x0**3,-39.906693*x0 + 24.7661877135018*(0.546140368669871*x0 + 1)**5.3059835,24.553432,9,7574.872144593883,-100.000000000000,-277.566599508931,-100.000000000000,-100.000000000000,1
19,23.050699446555285 + -95.45201131571179*x0 + -63.20281588503931*x0**2 + -61.16366748579265*x0**3,-61.56263*x0**3 - 63.304447*x0**2 - 95.05586*x0 + 23.18377,5.1740756,13,17.779358987606418,0.577295078412904,-0.415026682257645,0.160801561667054,0.652286775151311,0
20,21.574853407767193 + 99.0334682914505*x0 + 82.46765101223096*x0**2 + 93.57544089003162*x0**3,63.935383*4.3308053**x0 + 63.935383*x0**3 - 40.5487,38.431774,13,3925.3146764884086,-287.944266566381,-100.000000000000,-100.000000000000,-31.6750395275873,1
21,-94.0280864408492 + -51.37192023671027*x0 + 22.579598744048397*x0**2 + 91.13208883379136*x0**3,69.824151142416*2.9632235**x0*x0 + 26.7481478754116*x0*(1 - 0.532503564978242*x0)**3.8677032 - 145.690412759793*x0 - 93.77823,0.47284177,19,124.37069010097156,-0.265725327725752,-135.918904375546*2.9632235**x0 - 52.0676426969483*(1 - 0.532503564978242*x0)**3.8677032 + 183.599312792834,-100.000000000000,-100.000000000000,1
22,-5.115135973261317 + 92.566704359357*x0 + -39.3859356140178*x0**2 + -77.62617252190928*x0**3,-77.67946*x0**3 - 39.346414682746*x0**2 + 92.612055994934*x0 - 5.151766,0.19973822,13,0.5860839334071954,0.716110518472266,0.0489934646489418,-0.100342750922818,0.0686462778719170,0
23,-69.98292884119928 + 87.39049802637913*x0 + 82.33302571517811*x0**2 + 38.27703281739289*x0**3,57.306896*4.6311283**x0 - 124.986655363928,8.943265,7,1929.8184384214628,78.5959196528336,-100.000000000000,-100.000000000000,-100.000000000000,1
24,80.11415602497084 + 76.58748170514963*x0 + 91.52065914577301*x0**2 + -95.20151877080795*x0**3,27.1448481399115*0.10071474**x0 - 36.915627**x0 + 131.925047753895*x0 + 57.492832,22.83185,15,7717.862664122125,-28.2363631440116,72.2540613905902,-100.000000000000,-100.000000000000,1
