num_terms_removed,MSE,actual_eqn,removed_terms,full_eqn
0,3.121478529416398e-07,8.129732e-6*dx*x + 1.34803330012104e-5*dx - 7.9535761540508e-5*x**4 - 0.000131882397977069*x**3 + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7,[],8.129732e-6*dx*x + 1.34803330012104e-5*dx - 7.9535761540508e-5*x**4 - 0.000131882397977069*x**3 + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7
1,3.427786369963139e-07,8.129732e-6*dx*x + 1.34803330012104e-5*dx - 0.000131882397977069*x**3 + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7,[x**4],8.129732e-6*dx*x + 1.34803330012104e-5*dx - 7.9535761540508e-5*x**4 - 0.000131882397977069*x**3 + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7
2,1.155447075043511e-06,8.129732e-6*dx*x + 1.34803330012104e-5*dx + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7,"[x**4, x**3]",8.129732e-6*dx*x + 1.34803330012104e-5*dx - 7.9535761540508e-5*x**4 - 0.000131882397977069*x**3 + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7
3,3.1215927067100977e-06,8.129732e-6*dx*x + 1.34803330012104e-5*dx + 5.96109070293548e-5*x + 6.41363885818548e-7,"[x**4, x**3, x**2]",8.129732e-6*dx*x + 1.34803330012104e-5*dx - 7.9535761540508e-5*x**4 - 0.000131882397977069*x**3 + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7
4,8.475028785699562e-06,1.34803330012104e-5*dx + 5.96109070293548e-5*x + 6.41363885818548e-7,"[x**4, x**3, x**2, dx*x]",8.129732e-6*dx*x + 1.34803330012104e-5*dx - 7.9535761540508e-5*x**4 - 0.000131882397977069*x**3 + 3.5716934e-5*x**2 + 5.96109070293548e-5*x + 6.41363885818548e-7
