files_freq,predicting_freqs,MSE,predicting_eqn
[9],36-45-eqn-0,0.0005093727097469112
[36],36-45-eqn-0,1.0559459572221186e-06
[45],36-45-eqn-0,7.488501263832923e-07
[54],36-45-eqn-0,1.9218526262464855e-05
[63],36-45-eqn-0,7.087820861051049e-05
[72],36-45-eqn-0,0.0002273173842331441
[81],36-45-eqn-0,0.0005590769977684755
[90],36-45-eqn-0,0.0011963583463026478
[99],36-45-eqn-0,0.0010646300022286157files_freq,predicting_freqs,MSE,predicting_eqn
"[36, 45]",36-45-eqn-0,1.8047960836053869e-06
"[9, 99]",36-45-eqn-0,0.0015740027119755123
"[90, 99]",36-45-eqn-0,0.0022609883485312583
"[9, 36]",36-45-eqn-0,0.0005104286557041348
"[9, 36, 45, 54, 63, 72, 81, 90, 99]",36-45-eqn-0,0.003648656971236414
