ID,picked_equation,loss,complexity,MSE,%diff_to_set
0,x0*(-91.50515),82.86335,3,32.577026516238206,0.280305737077376
1,x0*(-18.949112),3.0709915,3,0.672329535298865,-0.193538355006131
2,x0*(-8.283137),0.71446794,3,0.23119220599348014,0.260812934462520
3,x0*(-32.020115),9.720873,3,0.2481937294198282,-0.0696748383086435
4,x0*(-43.740704),19.920883,3,0.05489887546153708,-0.0239992610360082
5,x0*89.92018,85.45664,3,0.02396437739013529,-0.00771433611402851
6,x0*(-25.074614),6.056839,3,18.223642147500893,-0.757161744623464
7,x0*7.9736023,0.65744805,3,0.038298723672223194,0.110108708036957
8,x0*15.444521,2.444673,3,2.9818457978402635,-0.498544277153398
9,x0*(-55.68514),30.390606,3,27.751138675761446,0.425747705150139
