ID,loss,complexity,MSE,expanded_form,substituted_form
0,2.0720845e-05,31,2.0720842824740095e-05,0.543660969419448*x0**2 - 0.00160323298449456*x0*x1*x3 + 1.01969309663272*x0*x1 + 0.000330802035754245*x0*x3 + 0.044754589887062*x0 + 0.000211480811654703*x1**2*x3 - 0.143966354112198*x1**2 - 4.36357558102456e-5*x1*x3 + 3.37374726814522*x1 - 0.014606885,0.000211480811654703*dx**2*w - 0.143966354112198*dx**2 - 0.00160323298449456*dx*w*x - 4.36357558102456e-5*dx*w + 1.01969309663272*dx*x + 3.37374726814522*dx + 0.000330802035754245*w*x + 0.543660969419448*x**2 + 0.044754589887062*x - 0.014606885
1,3.1660205e-05,31,3.1660213270658246e-05,-0.00041713873677129*x0**2*x1*x3 - 1.31430514945736e-7*x0**2*x3**2 + 0.6068908*x0**2 - 0.00146045792*x0*x1*x3 + 0.960790703396152*x0*x1 + 0.000302722345759195*x0*x3 + 0.05845377*x0 + 3.3638554*x1 - 0.019448051,-0.00041713873677129*dx*w*x**2 - 0.00146045792*dx*w*x + 0.960790703396152*dx*x + 3.3638554*dx - 1.31430514945736e-7*w**2*x**2 + 0.000302722345759195*w*x + 0.6068908*x**2 + 0.05845377*x - 0.019448051
2,1.5589418e-05,35,1.5589407503443627e-05,x0**2 - 0.0014001579*x0*x1**2*x3 - 0.00152565092696105*x0*x1*x3 + x0*x1 + 0.00041480360238556*x0*x3 + 0.06800737*x0 + 0.00108476806254341*x1**2*x3 - 6.51053551928561e-5*x1*x3 + 3.3915012*x1 - 4.03951413096335e-5*x3 - 0.039916249266284,-0.0014001579*dx**2*w*x + 0.00108476806254341*dx**2*w - 0.00152565092696105*dx*w*x - 6.51053551928561e-5*dx*w + dx*x + 3.3915012*dx + 0.00041480360238556*w*x - 4.03951413096335e-5*w + x**2 + 0.06800737*x - 0.039916249266284
3,2.3896993e-05,33,2.3896992019614342e-05,-0.0005192038*x0**2*x3 + 0.79951011822004*x0**2 - 0.0010384076*x0*x1*x3 + 0.79951011822004*x0*x1 + 0.00028248990919502*x0*x3 + 0.0673573043320279*x0 - 9.8530821201096e-5*x1*x3 + 3.39325430433203*x1 + 3.14790878815694e-5*x3 - 0.03179737881585,-0.0010384076*dx*w*x - 9.8530821201096e-5*dx*w + 0.79951011822004*dx*x + 3.39325430433203*dx - 0.0005192038*w*x**2 + 0.00028248990919502*w*x + 3.14790878815694e-5*w + 0.79951011822004*x**2 + 0.0673573043320279*x - 0.03179737881585
4,4.555062e-05,23,4.555062235771069e-05,0.5764196*x0**2 - 0.0015444147*x0*x1*x3 + x0*x1 + 0.00044362107*x0*x3 + 3.3591578*x1 - 0.019373119,-0.0015444147*dx*w*x + dx*x + 3.3591578*dx + 0.00044362107*w*x + 0.5764196*x**2 - 0.019373119
5,3.1987624e-05,23,3.1987621983178256e-05,-0.001541545*x0*x1*x3 + x0*x1*x6 + 0.00029848193*x0*x3 - 0.59716207*x1**2 + 3.3571005*x1 + 0.031720765,A_val*dx*x - 0.59716207*dx**2 - 0.001541545*dx*w*x + 3.3571005*dx + 0.00029848193*w*x + 0.031720765
6,4.7007605e-05,25,4.700760692582895e-05,0.55859055818802*x0**2 - 0.00127697622103251*x0*x1*x3 + 0.91889941428609*x0*x1 + 0.000447077837152071*x0*x3 + 3.3587997*x1 - 0.0186847625769214,-0.00127697622103251*dx*w*x + 0.91889941428609*dx*x + 3.3587997*dx + 0.000447077837152071*w*x + 0.55859055818802*x**2 - 0.0186847625769214
7,2.9600722e-05,27,2.9600702217149454e-05,0.576011436716604*x0**2 - 0.00195888886497082*x0*x1*x3 + 1.15202287343321*x0*x1 + 0.000388200701651353*x0*x3 + 0.0257291434925696*x0 - 8.74991874816332e-5*x1*x3 + 3.39382668698514*x1 + 1.73400577141977e-5*x3 - 0.0249167765210826,-0.00195888886497082*dx*w*x - 8.74991874816332e-5*dx*w + 1.15202287343321*dx*x + 3.39382668698514*dx + 0.000388200701651353*w*x + 1.73400577141977e-5*w + 0.576011436716604*x**2 + 0.0257291434925696*x - 0.0249167765210826
8,5.1484945e-05,27,5.148495321464713e-05,0.637206492576765*x0**2 - 0.00061720506542924*x0*x1*x3 + 0.637206492576765*x0*x1 + 0.000323854475169685*x0*x3 + 0.0530481541782874*x0 + 3.35850915417829*x1 - 0.022389773,-0.00061720506542924*dx*w*x + 0.637206492576765*dx*x + 3.35850915417829*dx + 0.000323854475169685*w*x + 0.637206492576765*x**2 + 0.0530481541782874*x - 0.022389773
9,2.5147945e-05,33,2.5147958207459767e-05,0.589786410442584*x0**2 + 6.54602685458052e-6*x0*x1*x3**2 - 0.0069351451259718*x0*x1*x3 + 1.9951284*x0*x1 + 0.00037418523409938*x0*x3 + 0.0326059194142484*x0 + 3.61892407700256e-7*x1*x3**2 - 0.000383404532725441*x1*x3 + 3.44588730092269*x1 + 2.06865627505566e-5*x3 - 0.027137589,6.54602685458052e-6*dx*w**2*x + 3.61892407700256e-7*dx*w**2 - 0.0069351451259718*dx*w*x - 0.000383404532725441*dx*w + 1.9951284*dx*x + 3.44588730092269*dx + 0.00037418523409938*w*x + 2.06865627505566e-5*w + 0.589786410442584*x**2 + 0.0326059194142484*x - 0.027137589
