ID,loss,complexity,MSE,expanded_form,substituted_form
0,2.2870342e-10,29,0.0003059224399214606,-3.1608606*x0*x6*x7 - 0.000108437477158836*x1**2 + 1.2190983e-5*x1*x3*x7 + 1.4147368e-5*x1*x3 - 9.299549e-5*x1 - 0.161563887335455*x6*x7,-3.1608606*A_val*p_val*x - 0.161563887335455*A_val*p_val - 0.000108437477158836*dx**2 + 1.2190983e-5*dx*p_val*w + 1.4147368e-5*dx*w - 9.299549e-5*dx
1,1.7305689e-10,25,0.00023148733028100006,0.595806614452765*x0*x1*x6*x7 - 3.16008382033905*x0*x6*x7 + 0.595806614452765*x1**2*x6*x7 - 1.62667021097216*x1*x6*x7**2 + 3.2344215*x1*x6 - 0.183734708991742*x6*x7,0.595806614452765*A_val*dx**2*p_val - 1.62667021097216*A_val*dx*p_val**2 + 0.595806614452765*A_val*dx*p_val*x + 3.2344215*A_val*dx - 3.16008382033905*A_val*p_val*x - 0.183734708991742*A_val*p_val
2,3.2975253e-10,27,0.00044108982880511024,1.6409038*x0*x6*x7**2 + 1.6409038*x0*x6 - 7.75552275955588e-5*x0*x7**2 - 0.000180634327595559*x0 + 3.23009747036984*x1*x6*x7 + 4.88000802723766*x1*x6 - 0.000152666441792853*x1*x7 - 0.000230647362277161*x1 - 0.163186941031219*x6*x7 + 7.71282286767768e-6*x7,3.23009747036984*A_val*dx*p_val + 4.88000802723766*A_val*dx + 1.6409038*A_val*p_val**2*x - 0.163186941031219*A_val*p_val + 1.6409038*A_val*x - 0.000152666441792853*dx*p_val - 0.000230647362277161*dx - 7.75552275955588e-5*p_val**2*x + 7.71282286767768e-6*p_val - 0.000180634327595559*x
