ID,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1
0,x0*34.227024 - 1*37.539654,0.027978463,5,0.031899705874932134,0.0147355905009244,0.00457829892566767
1,78.371056 + x0*(-43.993214),39.984566,5,1.7455825019063516,-0.0190303067008933,0.126212150563640
2,-98.40879*x0 - 98.13866,0.00017942637,5,0.0016012684134769045,-0.000845213273511357,-0.00138458466659104
3,x0/0.010794547 - 11.485157,16.68505,5,113.01283031085993,-2.34496233947468,-0.290245587078638
4,45.078423 - (-86.726135)*x0,40.90386,5,167.986306853998,0.429365069148937,0.596834257915151
5,x0*(-76.92573) - 1*(-76.168434),57.037907,5,13.046302478153986,-0.0371997312822778,-0.203051625791477
6,x0*(-15.511977) - 1*58.758266,4.849213,5,78.65479199291916,-0.174340693830024,-2.33525989438015
7,x0/0.0143014295 - 1*54.38135,0.6181902,5,0.01656164029612964,0.00560522692886661,0.00542175023213416
8,x0*(-71.28667) - 1*(-25.62565),23.469234,5,9.502746915670198,0.329440231975358,-0.0989358492479857
9,-(-37.563427)*x0 - 63.70843,1.6056175,5,4.445272706325567,-0.0880494533435972,-0.133991277186631
