ID,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1
0,x0/0.59494126 - 61.27766,0.08905161,5,0.12481122204048783,0.0146182568761133,-0.565165390668605
1,x0*37.755085 + 66.919975,0.28110754,5,0.49864530565946,-0.0211933468205627,-0.0650661988897423
2,x0*63.20627 + 96.53745,0.6197026,5,3.0082772090639898,-0.0482221156953705,0.0642514484562163
3,29.43592 + x0*(-62.935764),0.21296431,5,0.601296272485713,-0.0535824296997431,0.0425310835271886
4,x0*(-88.68768) - 1*22.192865,0.1067306,5,0.09110419851589092,-0.0407600800663148,0.00474837806028451
5,x0*38.55604 + 27.433737,0.11173169,5,0.07051411638279621,0.0246553364772718,0.0184788153879495
6,(x0 - 0.24138834)*(-91.14845),0.32032293,5,0.09476588177257575,0.0112749468244877,0.0146103383283624
7,x0*89.32031 + 23.901323,0.31217074,5,0.3328543862222508,0.0621169957077347,0.0170132159599570
8,x0*(-90.19608) - 94.966354,0.0005472033,5,0.0005770322866834604,-0.000413572891010683,-0.00102594406862383
9,x0*79.98837 + 5.455472,0.18910697,5,0.08850528229432743,0.172346918317977,-0.00101633887291642
