ID,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1
0,(x0 - 0.366091)*65.93763,0.17120174,5,0.14698059925257592,0.0294152038029030,-0.0212260604576717
1,-(-34.872864)*x0 - 5.118254,0.08624522,5,0.10735047160564201,-0.0586136274628644,-0.0401956630346277
2,78.751175 + x0*(-50.2117),1.6991345,5,3.8411083272905366,-0.0442714818506936,-0.143684459144473
3,25.030941 - 37.418613*x0,0.36270207,5,0.9110171443126218,0.0845663429231629,-0.0820535434849421
4,x0*(-25.517155) - 57.673462,0.103602625,5,0.020889604846885762,-0.00599862624283166,-0.0167194945819092
5,(x0 + 0.872032)*56.6328,1.040747,5,0.010319987545374986,0.00359173262465159,0.00673406838268088
6,(x0 + 0.18110576)*65.08973,0.60740674,5,0.22792553896595777,0.105761355094811,-0.0183847941232841
7,-x0/0.0433888 - 7.874955,0.023131698,5,0.1609047184056593,-0.0651667458863443,-0.0714907394423045
8,-x0/0.19547048 - 79.7155,0.5508758,5,0.6282018466558452,0.0251096407507729,0.423767178091954
9,(x0 - 0.15271018)*89.7866,0.5613403,5,0.39210678563888623,0.0181173381534594,0.0309884405864618
