,ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,0,11.784472043773192 + -84.53016358809364*x0 + 18.45479023072852*x0**2,11.7844715 - x0*(x0*(-18.45479) - 1*(-84.53017)),1.5063112e-11,9,2.0864624000782047e-08,-4.6143195007134406e-6,7.585347154885802e-6,-1.250236485210829e-6
1,1,43.00149981695648 + -81.9773656922032*x0 + -12.200181888331116*x0**2,x0*(x0*(-12.200181) - 1*16.829927) - 65.14744*x0 + 43.0015,8.956012e-12,13,1.353993458305052e-09,4.256677573479969e-7,1.59531450747902e-6,-7.2812940292242445e-6
2,2,-33.334168571598966 + -15.41388395365884*x0 + -68.642186155125*x0**2,(x0 + 0.2245541)*(-68.64219)*x0 - 1*33.334167,1.3591489e-11,9,2.71037746499423e-09,-4.7146787593295436e-6,8.069479208532129e-6,5.60132946155393e-6
3,3,12.086989319788117 + -20.173930714188543*x0 + -19.02982160425634*x0**2,x0*(-20.173931) - 19.029821*x0*x0 + 12.086989,1.156414e-12,11,8.723416884551854e-11,-2.6457218391266534e-6,1.4167365827814063e-6,-3.175312698236973e-6
4,4,-52.2248792106216 + 34.02645549307982*x0 + 87.70785662184608*x0**2,x0*34.026455 - (x0*x0*(-87.707855) + 53.955578) + 1.7306997,1.0421677e-11,13,4.574037916369348e-10,-1.74365477718588e-6,-1.449107214584350e-6,-1.849145729304129e-6
5,5,-63.73357914737492 + 64.29679516072119*x0 + 59.93598974793909*x0**2,(x0 - 1*(-1.0727577))*59.93599*x0 - 63.733578,1.3891551e-11,9,1.7057162204194762e-09,-1.800267510440099e-6,-5.927172644995792e-7,4.205501693214126e-7
6,6,16.000656337305387 + -71.11124785689576*x0 + -19.451238805149742*x0**2,16.000656 - x0*(71.14662 - (-19.451239)*(x0 - 0.0018185921)),6.9171778e-12,11,1.6864409244580835e-09,-2.1080721975765924e-6,-2.427852728893727e-6,1.0017370154076139e-6
7,7,23.479780837809642 + 60.184556642093156*x0 + -43.9572544931566*x0**2,23.479782 - x0*(x0*43.957256 - 1*60.184555),9.121434e-12,9,1.792836282533729e-09,4.9497496001897403e-6,-2.7284294251894713e-6,3.42797433826495e-6
8,8,-48.108944093042204 + 20.13715770537638*x0 + -89.12124819185603*x0**2,x0*(0.2259524 - x0)*89.12125 - 48.108944,2.3836037e-11,9,4.525890208053572e-09,-1.9339897122291448e-7,1.302628533901560e-5,2.028858449345281e-6
9,9,-52.6601343595301 + -93.50418065646562*x0 + -67.83479731068236*x0**2,x0*(-67.83479*x0 - 93.50418) - 52.660137,3.1959643e-11,9,7.860665651882715e-09,5.01417235923918e-6,-7.020708696699948e-7,-1.077718612207607e-5
