ID,loss,complexity,MSE,picked_equation,substituted_form
0,2.8508603e-13,23,1.849796881496211e-08,-1.561924161195e-7*x0*x2*x3 - 9.346515e-7*x0*x3 + 2.3686014954423e-10*x0*x4 + 0.0021681844*x0 + 7.570717899418e-7*x2*x3 + 4.5302986e-6*x3 - 1.14807198605685e-9*x4 + 0.00011835662,2.3686014954423e-10*dx**2*x - 1.14807198605685e-9*dx**2 - 1.561924161195e-7*dx*x**4 + 7.570717899418e-7*dx*x**3 - 9.346515e-7*dx*x + 4.5302986e-6*dx + 0.0021681844*x + 0.00011835662
1,2.1637077e-13,25,1.4039502932641947e-08,-2.2470251e-6*x0*x2*x3 - 9.1525743e-7*x0*x3 + 0.0021686077*x0 - 1.1653262e-9*x1*x3**2 - 1.1653262e-9*x3**2 + 4.530821e-6*x3 + 0.0001187855,-1.1653262e-9*dx**2*x**2 - 1.1653262e-9*dx**2 - 2.2470251e-6*dx*x**4 - 9.1525743e-7*dx*x + 4.530821e-6*dx + 0.0021686077*x + 0.0001187855
2,7.8814386e-13,25,5.11392068071932e-08,-2.98647205649881e-5*x0*x1 - 8.9246811103017e-7*x0*x3 + 0.00219298234345237*x0 + 0.0002152143882292*x1 + 4.5300565397352e-6*x3 + 9.85947930067668e-5,-8.9246811103017e-7*dx*x + 4.5300565397352e-6*dx - 2.98647205649881e-5*x**3 + 0.0002152143882292*x**2 + 0.00219298234345237*x + 9.85947930067668e-5
3,9.352643e-13,21,6.068471279439328e-08,-8.9763939232724e-7*x0*x3 + 0.002194891*x0 + 0.00025610363514361*x1 + 4.52886169280134e-6*x3 + 9.67916467730156e-5,-8.9763939232724e-7*dx*x + 4.52886169280134e-6*dx + 0.00025610363514361*x**2 + 0.002194891*x + 9.67916467730156e-5
4,4.2106767e-13,25,2.7321391792333994e-08,-8.95325817046973e-7*x0*x3 + 0.0021688438*x0 - 1.15723119684902e-9*x1*x3**2 - 1.15723119684902e-9*x3**2 + 4.5287557e-6*x3 + 0.00011865458,-1.15723119684902e-9*dx**2*x**2 - 1.15723119684902e-9*dx**2 - 8.95325817046973e-7*dx*x + 4.5287557e-6*dx + 0.0021688438*x + 0.00011865458
5,3.403309e-13,23,2.2082697470127932e-08,-9.1471077e-7*x0*x3 + 0.0021930991*x0 - 2.07607951916374e-7*x1*x3 + 0.00023680124*x1 + 4.5334855e-6*x3 + 9.780571e-5,-2.07607951916374e-7*dx*x**2 - 9.1471077e-7*dx*x + 4.5334855e-6*dx + 0.00023680124*x**2 + 0.0021930991*x + 9.780571e-5
6,1.8628877e-13,25,1.2087591475794026e-08,-9.116238453931e-7*x0*x3 + 0.002168614*x0 - 1.97688183420261e-9*x1*x3**2 - 1.84842127165289e-7*x1*x3 - 1.13943107787892e-9*x3**2 + 4.53288247056633e-6*x3 + 0.00011869444,-1.97688183420261e-9*dx**2*x**2 - 1.13943107787892e-9*dx**2 - 1.84842127165289e-7*dx*x**2 - 9.116238453931e-7*dx*x + 4.53288247056633e-6*dx + 0.002168614*x + 0.00011869444
7,1.8085647e-12,23,1.173508398047155e-07,9.06057527794848e-6*x0**2 - 8.84065065239942e-7*x0*x3 + 0.0021892104*x0 + 0.000193465470663504*x1 + 4.53028763897424e-6*x3 + 9.9316310093208e-5,-8.84065065239942e-7*dx*x + 4.53028763897424e-6*dx + 0.000202526045941452*x**2 + 0.0021892104*x + 9.9316310093208e-5
8,3.4804904e-13,21,2.2583623000592193e-08,-9.1986794e-7*x0*x3 + 0.0021695085*x0 - 1.94520379859467e-7*x1*x3 - 1.1681607e-9*x3**2 + 4.532693e-6*x3 + 0.000118585405,-1.1681607e-9*dx**2 - 1.94520379859467e-7*dx*x**2 - 9.1986794e-7*dx*x + 4.532693e-6*dx + 0.0021695085*x + 0.000118585405
9,2.349141e-13,23,1.524283152869062e-08,-8.9840188316849e-7*x0*x3 + 4.8414803930801e-10*x0*x4 + 0.00216706930850677*x0 - 1.89372920206407e-9*x3**2 + 7.16949592271367e-13*x3*x4 + 4.51888537209393e-6*x3 + 1.63598757103568e-16*x4**2 + 7.58709122044218e-10*x4 + 0.000118317225972265,1.63598757103568e-16*dx**4 + 7.16949592271367e-13*dx**3 + 4.8414803930801e-10*dx**2*x - 1.13502008001985e-9*dx**2 - 8.9840188316849e-7*dx*x + 4.51888537209393e-6*dx + 0.00216706930850677*x + 0.000118317225972265
