point_id,measurementpart_id,t,x,y,z,q,statusbyte
1,1,6.09999988228083e-05,6.09999988228083e-05,-5.83558552591512e-08,-0.399614900350571,-3.55970710211219e-12,278528
2,1,0.000121999997645617,0.000121999997645617,1.9062913736434e-07,-0.399925827980042,8.06867005270549e-12,278528
3,1,0.000182999996468425,0.000182999996468425,4.39614098013408e-07,-0.400858640670776,3.48851295140133e-11,278528
4,1,0.000243999995291233,0.000243999995291233,-5.83558552591512e-08,-0.400858640670776,3.13254224119011e-11,278528
5,1,0.000304999994114041,0.000304999994114041,5.64106585443369e-07,-0.399925827980042,6.5735923459885e-11,278528
6,1,0.00036599999293685,0.00036599999293685,6.61366428289512e-08,-0.399614900350571,6.97702585945955e-11,278528
7,1,0.000426999991759658,0.000426999991759658,1.9062913736434e-07,-0.399303942918777,8.13986357494132e-11,278528
8,1,0.000487999990582466,0.000487999990582466,3.15121610583446e-07,-0.400236755609512,1.00621053624045e-10,278528
9,1,0.000548999989405274,0.000548999989405274,4.39614098013408e-07,-0.400236755609512,1.27437513085353e-10,278528
10,1,0.000609999988228083,0.000609999988228083,-1.17878823857609e-06,-0.400547683238983,5.5531431919871e-11,278528
11,1,0.000670999987050891,0.000670999987050891,-1.82848339136399e-07,-0.400236755609512,4.43776834477982e-11,278528
12,1,0.000731999985873699,0.000731999985873699,-9.29803320559586e-07,-0.400858640670776,-1.23403180117797e-11,278528
13,1,0.000792999984696507,0.000792999984696507,1.9062913736434e-07,-0.399614900350571,-7.1194085696206e-13,278528
14,1,0.000853999983519316,0.000853999983519316,1.9062913736434e-07,-0.399614900350571,1.09164362978556e-11,278528
15,1,0.000914999982342124,0.000914999982342124,1.9062913736434e-07,-0.400547683238983,2.25448134526733e-11,278528
16,1,0.000975999981164932,0.000975999981164932,5.64106585443369e-07,-0.398682087659836,5.69553145006572e-11,278528
17,1,0.00103699997998774,0.00103699997998774,5.64106585443369e-07,-0.400236755609512,9.13658155486411e-11,278528
18,1,0.00109799997881055,0.00109799997881055,3.15121610583446e-07,-0.400236755609512,1.10588233423273e-10,278528
