num_terms_removed,MSE,actual_eqn,removed_terms,full_eqn
0,1.464356962945074e-08,1.36133687255917e-10*dx**2*x**3 - 7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514,[],1.36133687255917e-10*dx**2*x**3 - 7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514
1,1.478867662156421e-08,-7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514,[dx**2*x**3],1.36133687255917e-10*dx**2*x**3 - 7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514
2,2.5584839736656275e-08,5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514,"[dx**2*x**3, dx**2*x**2]",1.36133687255917e-10*dx**2*x**3 - 7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514
3,3.361436278463955e-08,-3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514,"[dx**2*x**3, dx**2*x**2, dx**2*x]",1.36133687255917e-10*dx**2*x**3 - 7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514
4,2.332083901502277e-06,-6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514,"[dx**2*x**3, dx**2*x**2, dx**2*x, dx**2]",1.36133687255917e-10*dx**2*x**3 - 7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514
5,1.1948022812879932e-05,3.533734e-6*dx + 0.0025918977*x + 0.00013374514,"[dx**2*x**3, dx**2*x**2, dx**2*x, dx**2, dx*x]",1.36133687255917e-10*dx**2*x**3 - 7.4690796960872e-10*dx**2*x**2 + 5.87068316022074e-11*dx**2*x - 3.22099557266344e-10*dx**2 - 6.4406896e-7*dx*x + 3.533734e-6*dx + 0.0025918977*x + 0.00013374514
