ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-24.76521880645501 + 92.68490008100608*x0 + 84.89631937227381*x0**2,95.05027*x0 - 130.59872*sin(1.2235174*x0 + 1.5521412) + 104.04971,3.550496,14,1277.028549940428,-520.144521286764,2.55205531529580,-100.000000000000
1,74.42299731196803 + -7.098735078363944*x0 + 30.968784317848105*x0**2,73.603516*cosh(asinh(x0) - 0.095569946),1.5548792,7,241.66161256455166,-100.000000000000,-100.000000000000,-100.000000000000
2,19.424332442971277 + -91.48450452168484*x0 + 78.65145194397633*x0**2,78.7657*x0**2 - 91.51199*x0 + 19.386,3.6860554,9,2.3672884523074433,-0.197342395594905,0.0300438620276310,0.145258673806872
3,-30.30751002921896 + 56.418929501014105*x0 + 23.62250874026728*x0**2,23.554634*x0**2 + 56.3825719452156*x0 - 30.275532,0.22811778,9,1.2263071783915813,-0.105511898496882,-0.0644421227415339,-0.287330786977668
4,-62.51956664793605 + 65.30338000441773*x0 + -83.91170416149197*x0**2,-83.97837*x0**2 + 65.26631*x0 - 62.49098,0.24496695,9,1.2489310648967942,-0.0457243219503280,-0.0567658280707991,0.0794476040907573
5,-48.030697201246 + 51.29910413690317*x0 + -11.776243617798016*x0**2,sinh(asinh(0.48240978*x0) - 5.359924) + 58.37052,0.010663556,9,3.31421222511322,-221.527530103156,-100.000000000000,-100.000000000000
6,56.46988531503388 + 11.379590765687865*x0 + -28.05409035452189*x0**2,-28.012638*x0**2 + 11.4102570175205*x0 + 56.445305,0.32620168,9,0.6945229539583743,-0.0435281830249019,0.269484663061345,-0.147758683308044
7,47.73356517134755 + 98.44292133292475*x0 + 25.632447252929325*x0**2,25.794554*x0**2 + 98.413562060613*x0 + 47.625423,3.1738133,9,4.472033754123882,-0.226553727883844,-0.0298236500036877,0.632427896841380
8,25.435939002666586 + 89.32109623137748*x0 + 98.96015202046794*x0**2,99.23642*x0**2 + 89.200065274164*x0 + 25.264708,4.224747,9,18.04506656510188,-0.673185301508376,-0.135500976051585,0.279170932836593
9,88.01351652495092 + -37.54531994180355*x0 + -62.711020534026304*x0**2,-62.76721*x0**2 - 37.55157*x0 + 88.027885,0.8596443,9,0.596609051914069,0.0163253050399466,0.0166467037866178,0.0896006244121115
