ID,picked_equation,loss,complexity,MSE,%diff_to_set
0,x0*82.885414,0.6898323,3,1.4597992661317316,-0.0652816324869913
1,x0*(-90.99313),0.8275091,3,5.578833941045191,0.116459453972427
2,x0*68.660835,0.43999866,3,0.33597141342413994,-0.0378167296998659
3,x0*(-32.9159),0.114834845,3,0.006809849659599951,0.0112361616085766
4,x0/(-0.058557916),0.029504333,3,0.01657650993747666,-0.0337747084595688
5,x0/(-0.03725963),0.07185809,3,0.10056089993577821,0.0529772345044197
6,x0*46.118496,0.20470908,3,0.09009701361862316,-0.0291581231231679
7,x0*43.13166,0.20250897,3,0.29873696695730567,-0.0567554940508834
8,x0*33.236183,0.10974001,3,0.5457884034734092,-0.0995118441466375
9,x0*20.165695,0.039342415,3,0.011152926210216924,-0.0234631038609133
