ID,loss,complexity,MSE,expanded_form,substituted_form
0,3.6452293e-11,11,3.5617896399306823e-06,5.4927364e-6*x0*x1 + 8.646056e-5*x0 + 1.1852022e-5*x1,5.4927364e-6*dx*x + 1.1852022e-5*dx + 8.646056e-5*x
1,3.623025e-11,11,3.540094059074304e-06,5.4162584892311e-6*x0*x1 + 8.47534788800886e-5*x0 + 1.1880889e-5*x1,5.4162584892311e-6*dx*x + 1.1880889e-5*dx + 8.47534788800886e-5*x
2,3.8729082e-11,11,3.784257326668546e-06,8.6942215e-5*x0*x1*x4 + 8.6942215e-5*x0 + 0.000237609656765951*x1*x4,8.6942215e-5*A3*dx*x + 0.000237609656765951*A3*dx + 8.6942215e-5*x
3,3.6280985e-11,11,3.545051384368602e-06,5.5198793e-6*x0*x1 + 8.451309e-5*x0 + 1.19018434132913e-5*x1,5.5198793e-6*dx*x + 1.19018434132913e-5*dx + 8.451309e-5*x
4,3.6234536e-11,13,3.540512716580721e-06,5.36986205416144e-6*x0*x1 + 1.9219230805808e-6*x0*x6 + 1.1886292e-5*x1,5.36986205416144e-6*dx*x + 1.1886292e-5*dx + 1.9219230805808e-6*x*x6
5,3.6238682e-11,11,3.540918033577233e-06,5.45086e-6*x0*x1 + 8.452741e-5*x0 + 1.1887792e-5*x1,5.45086e-6*dx*x + 1.1887792e-5*dx + 8.452741e-5*x
6,3.6241572e-11,13,3.541200568859077e-06,5.3685976e-6*x0*x1 + 2.6842988e-6*x0*x5 + 1.18819025e-5*x1,5.3685976e-6*dx*x + 1.18819025e-5*dx + 2.6842988e-6*w1*x
7,3.7194896e-11,11,3.6343506092501925e-06,3.6880505e-5*x0**2 + 5.16530244702045e-6*x0*x1 + 8.478824e-5*x0 + 1.18750245841416e-5*x1,5.16530244702045e-6*dx*x + 1.18750245841416e-5*dx + 3.6880505e-5*x**2 + 8.478824e-5*x
8,3.6301448e-11,11,3.547050987745325e-06,5.4444636e-6*x0*x1 + 8.3627885e-5*x0 + 1.1884784e-5*x1,5.4444636e-6*dx*x + 1.1884784e-5*dx + 8.3627885e-5*x
9,3.62406e-11,11,3.541105320277924e-06,5.432184e-6*x0*x1 + 8.4386935e-5*x0 + 1.1878982e-5*x1,5.432184e-6*dx*x + 1.1878982e-5*dx + 8.4386935e-5*x
