ID,loss,complexity,MSE,picked_equation,substituted_form
0,1.09935026e-10,13,1.7663260527960748e-06,0.00057529594*x0 + 0.00020033032*x1 + 2.0549246e-6*x3 + 3.0022617e-5,2.0549246e-6*dx + 0.00020033032*x**2 + 0.00057529594*x + 3.0022617e-5
1,1.0179032e-10,13,1.6354652196107414e-06,0.00016268583*x0**2 + 6.04199652391818e-7*x0*x3 + 0.00057113285311692*x0 + 2.08651449987813e-6*x3 + 3.21897472701616e-5,6.04199652391818e-7*dx*x + 2.08651449987813e-6*dx + 0.00016268583*x**2 + 0.00057113285311692*x + 3.21897472701616e-5
2,1.01444596e-10,13,1.6299103192484222e-06,0.00016465747*x0**2 + 6.121115e-7*x0*x3 + 0.00057207696716534*x0 + 2.092394206903e-6*x3 + 3.153304622823e-5,6.121115e-7*dx*x + 2.092394206903e-6*dx + 0.00016465747*x**2 + 0.00057207696716534*x + 3.153304622823e-5
3,1.1791003e-10,13,1.8944608636475328e-06,0.0005837098*x0 + 0.0002918549*x1 + 2.0555498208646e-6*x3 + 2.656469136898e-5,2.0555498208646e-6*dx + 0.0002918549*x**2 + 0.0005837098*x + 2.656469136898e-5
4,1.1005977e-10,13,1.7683303262603222e-06,0.0005735414*x0 + 0.00019892302703206*x1 + 2.0581233e-6*x3 + 2.980016e-5,2.0581233e-6*dx + 0.00019892302703206*x**2 + 0.0005735414*x + 2.980016e-5
5,1.11096105e-10,13,1.7849810317830508e-06,0.0005756698*x0 + 0.0002103543502784*x1 + 2.0341529e-6*x3 + 2.9528965120906e-5,2.0341529e-6*dx + 0.0002103543502784*x**2 + 0.0005756698*x + 2.9528965120906e-5
6,1.1789908e-10,13,1.8942845859325368e-06,0.00058232306*x0 + 0.00029116153*x1 + 2.06385104607561e-6*x3 + 2.63377092295801e-5,2.06385104607561e-6*dx + 0.00029116153*x**2 + 0.00058232306*x + 2.63377092295801e-5
7,1.1792467e-10,13,1.8946956397794872e-06,0.00055912684*x0 - 5.0802678e-9*x3**2 + 2.02956045993043e-6*x3 + 5.19192157111243e-5,-5.0802678e-9*dx**2 + 2.02956045993043e-6*dx + 0.00055912684*x + 5.19192157111243e-5
8,1.10923735e-10,13,1.7822122356718228e-06,0.0005720516*x0 + 0.000178884322301592*x1 + 2.04915530359592e-6*x3 + 3.12707676709388e-5,2.04915530359592e-6*dx + 0.000178884322301592*x**2 + 0.0005720516*x + 3.12707676709388e-5
9,1.1274015e-10,13,1.8113961386231373e-06,0.00055207004*x0 + 2.0790515e-6*x3 - 3.6648855e-9*x4 + 4.7730722e-5,-3.6648855e-9*dx**2 + 2.0790515e-6*dx + 0.00055207004*x + 4.7730722e-5
