ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,62.53353702429192 + -32.061169298577965*x0 + -38.38740186811129*x0**2,68.54599*cos(x0 + 0.5533532),63.808254,6,19357.656269712945,-100.000000000000,-100.000000000000,-100.000000000000
1,73.69258825372785 + 8.503988621907581*x0 + 77.74463700196495*x0**2,67.90223*sinh(cosh(x0)),291.16287,5,44951.68624870117,-100.000000000000,-100.000000000000,-100.000000000000
2,43.66091269714889 + -7.406056616897388*x0 + 61.60864934737967*x0**2,45.448257*sinh(cosh(x0)),169.2019,5,54484.332301687646,-100.000000000000,-100.000000000000,-100.000000000000
3,-69.39013002565133 + 27.64622732221926*x0 + -19.667718729837105*x0**2,sinh(x0 - 3.908415) - 47.738537,40.371494,6,5445.493885856018,-31.2026984495452,-100.000000000000,-100.000000000000
4,-51.54153934214081 + -68.58395218432705*x0 + 58.01701057288187*x0**2,-43.115982*x0*acos(x0) - 49.753597,67.22851,8,12239.8422469148,-3.46893469803486,62.8659921553091*acos(x0) - 100.0,-100.000000000000
5,-70.8199914665165 + -81.79013276659062*x0 + -76.2714371526728*x0**2,-76.05653*x0**2 - 82.14049*x0 - 70.799904,24.293602,11,83.78278426267653,-0.0283641188039363,0.428361247938328,-0.281766229529185
6,2.9925283509567606 + -44.25776298849888*x0 + 33.46641756423156*x0**2,x0*sinh(x0 - 4.156821),81.51128,6,15049.449937201643,-100.000000000000,-2.25949061243757*sinh(x0 - 4.156821) - 100.0,-100.000000000000
7,-9.1080376337259 + -84.66433109684522*x0 + 56.79715916689125*x0**2,cosh(x0 - 5.0296535) - 77.413155,208.11382,6,36280.31335154978,749.943293090369,-100.000000000000,-100.000000000000
8,-83.54034849633078 + -49.459847235806386*x0 + 25.541516472814266*x0**2,cosh(x0 - 3.767214) - cosh(4.2020607*atan(sin(x0 + 0.7724284) + 2.5648735)),0.7709008,16,41.740964384647405,-100.000000000000,-100.000000000000,-100.000000000000
9,-89.31110917959724 + -2.203361133551013*x0 + -69.45513479750691*x0**2,-99.13017*cosh(x0),113.36024,4,35212.046833582834,-100.000000000000,-100.000000000000,-100.000000000000
