ID,loss,complexity,MSE,picked_equation,substituted_form
0,2.4725724e-13,27,3.2247843490500406e-08,-2.62717198935626e-6*x0**2*x1*x3 - 3.16137032439074e-9*x0**2*x3**2 - 9.32634987419074e-9*x0*x1*x3**2 - 1.12227314567161e-11*x0*x3**3 - 1.0398300431904e-6*x0*x3 + 0.0016439780420784*x0 - 3.6913528432011e-9*x3**2 + 5.83605278528685e-6*x3 + 0.00010119005,-1.12227314567161e-11*dx**3*x - 9.32634987419074e-9*dx**2*x**3 - 3.16137032439074e-9*dx**2*x**2 - 3.6913528432011e-9*dx**2 - 2.62717198935626e-6*dx*x**4 - 1.0398300431904e-6*dx*x + 5.83605278528685e-6*dx + 0.0016439780420784*x + 0.00010119005
1,2.963307e-13,23,3.86486420645869e-08,2.20678711822061e-6*x0*x1*x3 - 1.19346383665883e-6*x0*x3 + 0.0016862649*x0 + 0.00042939184314792*x1 + 5.8358974e-6*x3 + 6.356513e-5,2.20678711822061e-6*dx*x**3 - 1.19346383665883e-6*dx*x + 5.8358974e-6*dx + 0.00042939184314792*x**2 + 0.0016862649*x + 6.356513e-5
2,2.2569495e-13,21,2.9436001100901605e-08,-5.068672e-6*x0*x2*x3 - 1.1260051e-6*x0*x3 + 0.0016858755*x0 + 0.00042558077*x1 + 5.8386945e-6*x3 + 6.37117e-5,-5.068672e-6*dx*x**4 - 1.1260051e-6*dx*x + 5.8386945e-6*dx + 0.00042558077*x**2 + 0.0016858755*x + 6.37117e-5
3,2.4283676e-13,27,3.167144073600772e-08,-1.132475e-6*x0*x1*x2*x3 - 1.132475e-6*x0*x3 + 0.0016439192*x0 - 3.2507614e-7*x1**2*x2*x3 - 3.6523087e-9*x1*x2*x3**2 + 5.8423266e-6*x1*x2*x3 - 3.2507614e-7*x1*x3 - 3.6523087e-9*x3**2 + 5.8423266e-6*x3 + 0.000100771154,-3.6523087e-9*dx**2*x**5 - 3.6523087e-9*dx**2 - 3.2507614e-7*dx*x**7 - 1.132475e-6*dx*x**6 + 5.8423266e-6*dx*x**5 - 3.2507614e-7*dx*x**2 - 1.132475e-6*dx*x + 5.8423266e-6*dx + 0.0016439192*x + 0.000100771154
4,2.9627958e-13,23,3.8641936012569554e-08,0.00042826345*x0**2 - 1.1984786e-6*x0*x3 + 0.0016861103*x0 + 2.3254636237173e-6*x2*x3 + 5.83659e-6*x3 + 6.357788e-5,2.3254636237173e-6*dx*x**3 - 1.1984786e-6*dx*x + 5.83659e-6*dx + 0.00042826345*x**2 + 0.0016861103*x + 6.357788e-5
5,2.3025912e-13,23,3.0031437828009616e-08,1.11005382943294e-6*x0*x1*x3 - 1.1613035e-6*x0*x3 + 0.0016862914*x0 + 2.82127840121805e-7*x1**2*x3 - 2.9515329751915e-7*x1*x3 + 0.00042858259472066*x1 + 5.8410274e-6*x3 + 6.360791e-5,2.82127840121805e-7*dx*x**4 + 1.11005382943294e-6*dx*x**3 - 2.9515329751915e-7*dx*x**2 - 1.1613035e-6*dx*x + 5.8410274e-6*dx + 0.00042858259472066*x**2 + 0.0016862914*x + 6.360791e-5
6,2.3196164e-13,23,3.025298230280928e-08,-2.922087e-7*x0**2*x3 + 0.00042429383*x0**2 - 1.16105141218332e-6*x0*x3 + 0.00168587365982659*x0 + 1.11171068433938e-6*x2*x3 + 5.8413093e-6*x3 + 6.375368e-5,1.11171068433938e-6*dx*x**3 - 2.922087e-7*dx*x**2 - 1.16105141218332e-6*dx*x + 5.8413093e-6*dx + 0.00042429383*x**2 + 0.00168587365982659*x + 6.375368e-5
7,2.313482e-13,25,3.017341079395458e-08,-4.92335344363758e-6*x0*x2*x3 - 1.12850411270166e-6*x0*x3 + 0.00168570771058325*x0 + 0.0004251127*x1 + 5.83873335924486e-6*x3 + 6.3726937294182e-5,-4.92335344363758e-6*dx*x**4 - 1.12850411270166e-6*dx*x + 5.83873335924486e-6*dx + 0.0004251127*x**2 + 0.00168570771058325*x + 6.3726937294182e-5
8,2.3017292e-13,23,3.0019525501083216e-08,-1.1205926e-6*x0*x3 + 0.0016436529*x0 - 5.206626206269e-6*x1**2*x3 - 3.6810833775181e-9*x3**2 + 5.8391265e-6*x3 + 0.000100933146,-3.6810833775181e-9*dx**2 - 5.206626206269e-6*dx*x**4 - 1.1205926e-6*dx*x + 5.8391265e-6*dx + 0.0016436529*x + 0.000100933146
9,2.545007e-13,25,3.319244480339812e-08,-1.12617534e-6*x0*x3 + 0.0016853686*x0 + 5.839807e-6*x1*x2*x3 - 2.82652306863655e-7*x1*x3 + 0.000423001024605608*x1 + 5.839807e-6*x3 + 6.3814376e-5,5.839807e-6*dx*x**5 - 2.82652306863655e-7*dx*x**2 - 1.12617534e-6*dx*x + 5.839807e-6*dx + 0.000423001024605608*x**2 + 0.0016853686*x + 6.3814376e-5
