Eqn,MSE_1,MSE_2
0,1.6021067882878272e-07,0.004360098778209927
1,1.5344704641604624e-07,0.004361557602481363
2,1.424237631906875e-07,0.004602616314840408
3,1.7095769631161378e-07,0.004355912537158119
4,1.87228478134937e-07,0.004360922502028699
5,1.7296555816548602e-07,0.004600490068557384
6,1.3147679304907026e-07,0.004606504950306749
7,9.162939098712949e-08,0.004377998288224227
8,1.6930350971496136e-07,0.004545767615353889
9,1.7370101847051427e-07,0.004357469422324203
Eqn,MSE_1,MSE_2
0,1.6021067882878272e-07,0.004360098778209927
1,1.5344704641604624e-07,0.004361557602481363
2,1.424237631906875e-07,0.004602616314840408
3,1.7095769631161378e-07,0.004355912537158119
4,1.87228478134937e-07,0.004360922502028699
5,1.7296555816548602e-07,0.004600490068557384
