ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-82.26913274291621 + -86.47437520107388*x0 + 24.979145196395308*x0**2,24.942934*x0**2 - 86.497955*x0 - 82.24731,0.08225771,9,0.4524710074326952,-0.0265260398263930,0.0272679610246304,-0.144965714841725
1,-83.0715355019448 + -54.887097932304506*x0 + -67.1453925007865*x0**2,-67.14394*x0**2 - 54.919304705566*x0 - 83.078042975644,0.5046108,9,0.5485580295922355,0.00783357820449045,0.0586782221592679,-0.00216321735922823
2,82.111905247589 + -95.08684177601188*x0 + 3.3709372696918223*x0**2,83.82307 - 94.90944*x0,4.8221674,5,1437.473460482168,2.08394233120203,-0.186568165161871,-100.000000000000
3,-88.9631732574635 + -39.0938629823997*x0 + 11.863339656232611*x0**2,11.799063*x0**2 - 39.09294*x0 - 88.9029,0.14539604,9,1.3151226577504036,-0.0677507953645709,-0.00236093936308079,-0.541809120325085
4,-80.45469812516032 + -27.408302030123593*x0 + 58.159254325900775*x0**2,58.1627*x0**2 - 27.408709*x0 - 80.45529,0.002591738,9,0.0028377432187386225,0.000735662246553197,0.00148484162193316,0.00592454999494546
5,-99.62732364409577 + -46.843374774427396*x0 + -8.70270482638243*x0**2,24.878426 - 124.59945*1.4473397**x0,0.41990054,7,37.59907185804054,-124.971488834604,-100.000000000000,-100.000000000000
6,-0.6457914647140228 + 44.924719731123275*x0 + -99.85637431127702*x0**2,-99.853386*x0**2 + 44.925724*x0 - 0.6477064,0.0019751135,9,0.0017917100976356636,0.296525332186790,0.00223544828490352,-0.00299260943293098
7,50.56382826796863 + 30.59571284058137*x0 + -2.517326639320487*x0**2,50.595736821671*(0.741042773998459*x0 + 1)**0.79936385,0.6984631,7,29.620241401683405,-100.000000000000,-100.000000000000,-100.000000000000
8,-76.99844388893572 + 49.12881885722854*x0 + -85.49627489864027*x0**2,-85.4339*x0**2 + 49.13705*x0 - 77.03303,0.4873975,9,0.5301151174041072,0.0449179351132853,0.0167542044830846,-0.0729562764158087
9,53.80465990864849 + -95.65385564284863*x0 + -27.634017824699256*x0**2,-27.703108*x0**2 - 95.57026*x0 + 53.852337,1.4668875,9,4.2633855576533755,0.0886114537894256,-0.0873939082610009,0.250018566749968
